time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001202,0.0068,0.7723,0.1152,0.781
0.005563,0.0071,0.7726,0.1164,0.781
0.016052,0.0072,0.7728,0.1178,0.782
0.031199,0.0071,0.7726,0.1192,0.782
0.037640,0.0074,0.7730,0.1201,0.782
0.046166,0.0062,0.7737,0.1214,0.783
0.056561,0.0050,0.7729,0.1231,0.783
0.066407,0.0033,0.7737,0.1242,0.784
0.077047,0.0016,0.7743,0.1257,0.784
0.087682,0.0009,0.7749,0.1283,0.785
0.097110,-0.0001,0.7757,0.1314,0.787
0.106954,-0.0012,0.7766,0.1345,0.788
0.117325,-0.0030,0.7777,0.1363,0.790
0.127506,-0.0056,0.7775,0.1396,0.790
0.147229,-0.0084,0.7769,0.1420,0.790
0.148029,-0.0114,0.7757,0.1436,0.789
0.157654,-0.0135,0.7755,0.1444,0.789
0.169972,-0.0159,0.7766,0.1450,0.790
0.178172,-0.0177,0.7770,0.1461,0.791
0.188745,-0.0189,0.7771,0.1450,0.791
0.198313,-0.0193,0.7772,0.1445,0.791
0.209013,-0.0185,0.7780,0.1427,0.791
0.218977,-0.0178,0.7797,0.1407,0.792
0.228951,-0.0169,0.7817,0.1389,0.794
0.239268,-0.0170,0.7836,0.1384,0.796
0.249238,-0.0167,0.7858,0.1391,0.798
0.264327,-0.0166,0.7879,0.1395,0.800
0.279761,-0.0161,0.7891,0.1394,0.802
0.280683,-0.0144,0.7908,0.1387,0.803
0.289606,-0.0137,0.7915,0.1370,0.803
0.299901,-0.0123,0.7934,0.1356,0.805
0.309930,-0.0108,0.7953,0.1347,0.807
0.320098,-0.0085,0.7957,0.1341,0.807
0.330292,-0.0050,0.7960,0.1323,0.807
0.346002,-0.0026,0.7958,0.1306,0.806
0.352019,0.0005,0.7945,0.1290,0.805
0.360909,0.0020,0.7933,0.1272,0.803
0.371690,0.0025,0.7927,0.1254,0.803
0.380649,0.0018,0.7930,0.1228,0.802
0.391631,0.0014,0.7933,0.1216,0.803
0.401799,0.0011,0.7939,0.1206,0.803
0.411362,-0.0005,0.7942,0.1199,0.803
0.421565,-0.0010,0.7946,0.1210,0.804
0.431963,-0.0017,0.7938,0.1226,0.803
0.447905,-0.0013,0.7934,0.1243,0.803
0.451785,-0.0012,0.7935,0.1240,0.803
0.461923,-0.0017,0.7939,0.1234,0.803
0.472306,-0.0014,0.7934,0.1243,0.803
0.482447,-0.0014,0.7923,0.1255,0.802
0.492449,0.0003,0.7923,0.1267,0.802
0.502975,0.0023,0.7916,0.1267,0.802
0.512919,0.0042,0.7909,0.1265,0.801
0.523468,0.0050,0.7899,0.1260,0.800
0.533414,0.0051,0.7893,0.1270,0.800
0.546645,0.0054,0.7883,0.1284,0.799
0.552889,0.0048,0.7874,0.1301,0.798
0.563398,0.0058,0.7871,0.1333,0.798
0.573132,0.0077,0.7856,0.1364,0.797
0.584858,0.0100,0.7830,0.1396,0.795
0.594106,0.0122,0.7811,0.1422,0.794
0.603562,0.0138,0.7793,0.1450,0.793
0.614052,0.0163,0.7781,0.1473,0.792
0.623630,0.0187,0.7774,0.1482,0.792
0.645956,0.0206,0.7777,0.1483,0.792
0.647123,0.0220,0.7782,0.1472,0.792
0.654412,0.0239,0.7775,0.1475,0.792
0.664404,0.0248,0.7764,0.1475,0.791
0.674544,0.0253,0.7760,0.1468,0.790
0.685318,0.0252,0.7749,0.1466,0.789
0.695210,0.0237,0.7725,0.1467,0.787
0.704994,0.0221,0.7698,0.1469,0.784
0.715298,0.0218,0.7675,0.1470,0.782
0.725395,0.0216,0.7658,0.1482,0.780
0.746329,0.0206,0.7653,0.1484,0.780
0.747533,0.0197,0.7650,0.1478,0.779
0.755910,0.0183,0.7657,0.1468,0.780
0.765734,0.0171,0.7659,0.1457,0.780
0.775809,0.0161,0.7674,0.1448,0.781
0.786226,0.0140,0.7695,0.1435,0.783
0.796488,0.0107,0.7709,0.1409,0.784
0.806379,0.0073,0.7723,0.1384,0.785
0.816491,0.0040,0.7732,0.1368,0.785
0.826655,0.0013,0.7723,0.1347,0.784
0.836532,-0.0012,0.7713,0.1325,0.783
0.847287,-0.0044,0.7695,0.1308,0.781
0.856870,-0.0074,0.7680,0.1281,0.779
0.867053,-0.0094,0.7678,0.1254,0.778
0.877252,-0.0104,0.7684,0.1226,0.778
0.887272,-0.0112,0.7703,0.1194,0.780
0.897125,-0.0106,0.7729,0.1174,0.782
0.907400,-0.0110,0.7755,0.1166,0.784
0.918801,-0.0124,0.7774,0.1163,0.786
0.927734,-0.0127,0.7799,0.1152,0.789
0.938080,-0.0116,0.7823,0.1135,0.791
0.948324,-0.0097,0.7844,0.1123,0.792
0.958339,-0.0068,0.7863,0.1100,0.794
0.968758,-0.0046,0.7886,0.1074,0.796
0.978724,-0.0036,0.7894,0.1047,0.796
0.988617,-0.0025,0.7902,0.1032,0.797
0.998983,-0.0008,0.7901,0.1021,0.797
1.009711,0.0015,0.7899,0.1007,0.796
1.019073,0.0027,0.7903,0.1005,0.797
1.029628,0.0037,0.7920,0.1011,0.798
1.039409,0.0045,0.7926,0.1016,0.799
1.049405,0.0058,0.7940,0.1027,0.801
1.059630,0.0067,0.7960,0.1049,0.803
1.069618,0.0085,0.7972,0.1063,0.804
1.080570,0.0082,0.7980,0.1073,0.805
1.090146,0.0080,0.7980,0.1074,0.805
1.101700,0.0066,0.7971,0.1065,0.804
1.110381,0.0053,0.7962,0.1060,0.803
1.120358,0.0050,0.7953,0.1055,0.802
1.130908,0.0049,0.7933,0.1051,0.800
1.140690,0.0012,0.7907,0.1049,0.798
1.151755,-0.0038,0.7885,0.1063,0.796
1.160958,-0.0114,0.7873,0.1077,0.795
1.171583,-0.0184,0.7850,0.1090,0.793
1.181546,-0.0238,0.7826,0.1103,0.791
1.191814,-0.0270,0.7796,0.1119,0.788
1.201769,-0.0289,0.7779,0.1146,0.787
1.211558,-0.0313,0.7764,0.1162,0.786
1.221598,-0.0331,0.7733,0.1171,0.783
1.232418,-0.0347,0.7680,0.1184,0.778
1.241810,-0.0359,0.7615,0.1208,0.772
1.252390,-0.0368,0.7539,0.1218,0.765
1.262570,-0.0381,0.7457,0.1221,0.757
1.272257,-0.0391,0.7360,0.1227,0.747
1.283052,-0.0400,0.7256,0.1232,0.737
1.292516,-0.0402,0.7141,0.1235,0.726
1.302570,-0.0396,0.7036,0.1236,0.715
1.312863,-0.0395,0.6920,0.1239,0.704
1.323246,-0.0394,0.6794,0.1230,0.692
1.339352,-0.0040,0.6674,0.1199,0.678
1.343514,-0.0038,0.6571,0.1183,0.668
1.353594,-0.0036,0.6488,0.1170,0.659
1.364157,-0.0032,0.6410,0.1157,0.651
1.373935,-0.0028,0.6343,0.1147,0.645
1.385117,-0.0025,0.6287,0.1138,0.639
1.394738,-0.0023,0.6236,0.1130,0.634
1.404504,-0.0021,0.6196,0.1124,0.630
1.414730,-0.0020,0.6155,0.1117,0.626
1.424808,-0.0018,0.6133,0.1113,0.623
1.439713,-0.0016,0.6134,0.1113,0.623
1.444455,-0.0015,0.6151,0.1115,0.625
1.455171,-0.0014,0.6183,0.1119,0.628
1.465002,-0.0014,0.6218,0.1124,0.632
1.475339,-0.0014,0.6278,0.1135,0.638
1.486391,-0.0014,0.6344,0.1147,0.645
1.495625,-0.0014,0.6430,0.1163,0.653
1.505274,-0.0014,0.6521,0.1180,0.663
1.515808,-0.0013,0.6601,0.1195,0.671
1.525927,-0.0014,0.6683,0.1211,0.679
1.539168,-0.0014,0.6768,0.1227,0.688
1.546635,-0.0016,0.6828,0.1238,0.694
1.556107,-0.0017,0.6853,0.1243,0.696
1.566195,-0.0020,0.6860,0.1246,0.697
1.576739,-0.0021,0.6844,0.1244,0.696
1.586697,-0.0023,0.6834,0.1244,0.695
1.596464,-0.0025,0.6822,0.1242,0.693
1.607443,-0.0028,0.6810,0.1240,0.692
1.618253,-0.0030,0.6806,0.1239,0.692
1.628076,-0.0032,0.6802,0.1238,0.691
1.637387,-0.0035,0.6800,0.1238,0.691
1.647756,-0.0037,0.6806,0.1241,0.692
1.657569,-0.0039,0.6800,0.1241,0.691
1.668817,-0.0041,0.6797,0.1242,0.691
1.677596,-0.0042,0.6782,0.1240,0.689
1.688307,-0.0042,0.6772,0.1239,0.689
1.698663,-0.0044,0.6751,0.1236,0.686
1.708580,-0.0045,0.6735,0.1233,0.685
1.718536,-0.0045,0.6737,0.1234,0.685
1.728395,-0.0045,0.6742,0.1235,0.685
1.738720,-0.0043,0.6758,0.1236,0.687
1.749056,-0.0041,0.6781,0.1238,0.689
1.759580,-0.0039,0.6821,0.1244,0.693
1.769025,-0.0036,0.6875,0.1251,0.699
1.779763,-0.0034,0.6944,0.1261,0.706
1.788947,-0.0032,0.7013,0.1271,0.713
1.799636,-0.0029,0.7079,0.1280,0.719
1.809898,-0.0026,0.7127,0.1287,0.724
1.820327,-0.0022,0.7169,0.1292,0.728
1.829891,-0.0019,0.7209,0.1299,0.733
1.840052,-0.0017,0.7237,0.1303,0.735
1.855617,-0.0014,0.7252,0.1305,0.737
1.860270,-0.0010,0.7267,0.1307,0.738
1.870436,-0.0007,0.7278,0.1308,0.739
1.880551,-0.0004,0.7301,0.1311,0.742
1.890665,0.0000,0.7329,0.1313,0.745
1.901530,0.0007,0.7359,0.1317,0.748
1.911217,0.0013,0.7381,0.1318,0.750
1.920765,0.0019,0.7400,0.1319,0.752
