time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002054,-0.0223,0.6715,0.1624,0.691
0.005595,-0.0226,0.6799,0.1645,0.700
0.015460,-0.0228,0.6893,0.1664,0.710
0.024885,-0.0232,0.6966,0.1677,0.717
0.034524,-0.0233,0.7025,0.1684,0.723
0.045396,-0.0232,0.7073,0.1689,0.728
0.055422,-0.0230,0.7090,0.1686,0.729
0.067591,-0.0226,0.7085,0.1679,0.728
0.075573,-0.0222,0.7063,0.1670,0.726
0.085433,-0.0219,0.7029,0.1659,0.723
0.095821,-0.0215,0.6996,0.1650,0.719
0.106008,-0.0214,0.6992,0.1649,0.719
0.116630,-0.0217,0.7009,0.1654,0.720
0.125952,-0.0222,0.7054,0.1672,0.725
0.136255,-0.0228,0.7131,0.1701,0.733
0.146057,-0.0235,0.7233,0.1737,0.744
0.156352,-0.0239,0.7329,0.1771,0.754
0.167029,-0.0241,0.7402,0.1796,0.762
0.176716,-0.0242,0.7463,0.1816,0.768
0.186937,-0.0243,0.7508,0.1827,0.773
0.196884,-0.0243,0.7546,0.1837,0.777
0.207030,-0.0243,0.7579,0.1848,0.780
0.217095,-0.0244,0.7596,0.1857,0.782
0.227186,-0.0245,0.7627,0.1872,0.786
0.237153,-0.0245,0.7666,0.1891,0.790
0.249575,-0.0246,0.7702,0.1910,0.794
0.257652,-0.0247,0.7736,0.1927,0.798
0.267567,-0.0246,0.7773,0.1944,0.802
0.277950,-0.0245,0.7812,0.1960,0.806
0.288260,-0.0242,0.7826,0.1968,0.807
0.309451,-0.0237,0.7805,0.1965,0.805
0.310758,-0.0230,0.7773,0.1958,0.802
0.318645,-0.0221,0.7719,0.1944,0.796
0.329073,-0.0210,0.7643,0.1923,0.788
0.339144,-0.0196,0.7553,0.1899,0.779
0.350009,-0.0181,0.7444,0.1868,0.768
0.359609,-0.0166,0.7327,0.1834,0.755
0.369041,-0.0152,0.7210,0.1801,0.743
0.379687,-0.0138,0.7089,0.1768,0.731
0.390175,-0.0124,0.6969,0.1738,0.718
0.410700,-0.0110,0.6846,0.1708,0.706
0.411885,-0.0098,0.6728,0.1681,0.694
0.420742,-0.0085,0.6619,0.1657,0.682
0.429946,-0.0074,0.6517,0.1635,0.672
0.440600,-0.0063,0.6434,0.1618,0.663
0.450661,-0.0053,0.6375,0.1607,0.657
0.461064,-0.0045,0.6355,0.1606,0.655
0.470352,-0.0039,0.6342,0.1609,0.654
0.481309,-0.0033,0.6329,0.1610,0.653
0.491214,-0.0028,0.6329,0.1613,0.653
0.511945,-0.0023,0.6343,0.1620,0.655
0.513081,-0.0019,0.6355,0.1627,0.656
0.521284,-0.0016,0.6392,0.1638,0.660
0.531539,-0.0013,0.6449,0.1653,0.666
0.541672,-0.0010,0.6529,0.1674,0.674
0.551683,-0.0009,0.6623,0.1698,0.684
0.561814,-0.0007,0.6726,0.1726,0.694
0.571748,-0.0006,0.6849,0.1759,0.707
0.583016,-0.0005,0.6983,0.1796,0.721
0.592379,-0.0005,0.7126,0.1835,0.736
0.611567,-0.0006,0.7277,0.1874,0.751
0.612967,-0.0005,0.7436,0.1914,0.768
0.622617,-0.0005,0.7604,0.1956,0.785
0.632924,-0.0003,0.7773,0.1999,0.803
0.642719,-0.0001,0.7935,0.2040,0.819
0.653180,0.0002,0.8095,0.2079,0.836
0.663732,0.0005,0.8225,0.2110,0.849
0.672797,0.0009,0.8330,0.2132,0.860
0.693368,0.0016,0.8406,0.2147,0.868
0.694565,0.0023,0.8464,0.2158,0.873
0.703415,0.0032,0.8498,0.2163,0.877
0.713781,0.0041,0.8520,0.2163,0.879
0.724855,0.0051,0.8515,0.2156,0.878
0.734076,0.0062,0.8496,0.2146,0.876
0.744198,0.0072,0.8442,0.2126,0.871
0.754377,0.0083,0.8353,0.2097,0.861
0.764445,0.0092,0.8237,0.2060,0.849
0.774685,0.0101,0.8103,0.2018,0.835
0.793946,0.0110,0.7957,0.1971,0.820
0.795175,0.0118,0.7800,0.1919,0.803
0.805117,0.0126,0.7627,0.1864,0.785
0.816543,0.0132,0.7443,0.1805,0.766
0.825451,0.0136,0.7248,0.1747,0.746
0.835908,0.0139,0.7076,0.1694,0.728
0.845675,0.0139,0.6912,0.1644,0.711
0.855953,0.0138,0.6763,0.1601,0.695
0.866664,0.0135,0.6627,0.1562,0.681
0.876182,0.0132,0.6519,0.1530,0.670
0.886178,0.0127,0.6433,0.1504,0.661
0.896456,0.0122,0.6367,0.1483,0.654
0.906301,0.0117,0.6316,0.1467,0.649
0.916686,0.0110,0.6275,0.1456,0.644
0.926675,0.0105,0.6239,0.1447,0.641
