time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001423,-0.0216,0.6191,0.2057,0.653
0.011489,-0.0217,0.6273,0.2085,0.661
0.031278,-0.0218,0.6339,0.2108,0.668
0.032086,-0.0218,0.6385,0.2124,0.673
0.048088,-0.0218,0.6431,0.2142,0.678
0.064355,-0.0218,0.6490,0.2165,0.685
0.064918,-0.0219,0.6558,0.2191,0.692
0.081041,-0.0218,0.6601,0.2209,0.696
0.081659,-0.0215,0.6614,0.2215,0.698
0.097731,-0.0211,0.6616,0.2217,0.698
0.112724,-0.0206,0.6600,0.2215,0.697
0.113567,-0.0200,0.6581,0.2214,0.695
0.130260,-0.0194,0.6555,0.2211,0.692
0.131068,-0.0190,0.6552,0.2215,0.692
0.147185,-0.0188,0.6557,0.2218,0.692
0.163009,-0.0187,0.6566,0.2222,0.693
0.163804,-0.0185,0.6558,0.2219,0.693
0.181092,-0.0183,0.6516,0.2204,0.688
0.181824,-0.0180,0.6459,0.2182,0.682
0.196906,-0.0176,0.6387,0.2156,0.674
0.212688,-0.0172,0.6304,0.2128,0.666
0.213417,-0.0170,0.6240,0.2109,0.659
0.228581,-0.0168,0.6202,0.2100,0.655
0.232751,-0.0168,0.6188,0.2102,0.654
0.246022,-0.0168,0.6184,0.2109,0.654
0.263020,-0.0167,0.6178,0.2117,0.653
0.263917,-0.0167,0.6178,0.2128,0.654
0.279850,-0.0168,0.6184,0.2141,0.655
0.283332,-0.0171,0.6196,0.2157,0.656
0.297294,-0.0174,0.6203,0.2172,0.657
0.313533,-0.0177,0.6217,0.2189,0.659
0.314474,-0.0183,0.6230,0.2205,0.661
0.329084,-0.0188,0.6257,0.2225,0.664
0.345773,-0.0192,0.6262,0.2237,0.665
0.346757,-0.0194,0.6243,0.2240,0.664
0.363710,-0.0196,0.6209,0.2235,0.660
0.364836,-0.0196,0.6162,0.2226,0.655
0.379591,-0.0196,0.6123,0.2218,0.652
0.395248,-0.0196,0.6078,0.2208,0.647
0.396445,-0.0196,0.6047,0.2201,0.644
0.412815,-0.0197,0.6018,0.2193,0.641
0.414610,-0.0197,0.5991,0.2186,0.638
0.429928,-0.0198,0.5958,0.2174,0.634
0.447265,-0.0197,0.5914,0.2156,0.630
0.448545,-0.0196,0.5863,0.2134,0.624
0.463249,-0.0195,0.5810,0.2109,0.618
0.465852,-0.0194,0.5753,0.2080,0.612
0.480279,-0.0193,0.5705,0.2055,0.607
