time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001984,0.0200,0.7829,0.0918,0.788
0.007643,0.0200,0.7756,0.0911,0.781
0.018599,0.0201,0.7679,0.0903,0.773
0.027874,0.0201,0.7626,0.0897,0.768
0.038720,0.0201,0.7611,0.0896,0.767
0.048756,0.0199,0.7609,0.0897,0.766
0.058636,0.0197,0.7611,0.0898,0.767
0.068635,0.0194,0.7628,0.0900,0.768
0.079222,0.0189,0.7651,0.0904,0.771
0.089128,0.0184,0.7698,0.0910,0.775
0.098971,0.0181,0.7761,0.0917,0.782
0.109324,0.0179,0.7828,0.0925,0.788
0.118627,0.0177,0.7906,0.0933,0.796
0.129116,0.0176,0.7985,0.0941,0.804
0.139230,0.0177,0.8078,0.0951,0.814
0.149248,0.0177,0.8183,0.0963,0.824
0.159531,0.0178,0.8296,0.0976,0.836
0.176045,0.0180,0.8421,0.0990,0.848
0.181572,0.0183,0.8540,0.1003,0.860
0.189913,0.0184,0.8661,0.1016,0.872
0.201007,0.0185,0.8770,0.1029,0.883
0.210604,0.0185,0.8859,0.1040,0.892
0.220422,0.0184,0.8929,0.1049,0.899
0.231816,0.0183,0.8974,0.1056,0.904
0.240514,0.0182,0.8986,0.1058,0.905
0.250569,0.0182,0.8992,0.1059,0.906
0.260933,0.0183,0.8989,0.1060,0.905
0.276079,0.0187,0.8986,0.1060,0.905
0.281515,0.0192,0.8966,0.1059,0.903
0.291998,0.0198,0.8930,0.1056,0.899
0.301206,0.0202,0.8881,0.1051,0.895
0.311789,0.0205,0.8826,0.1045,0.889
0.321851,0.0209,0.8767,0.1039,0.883
0.332070,0.0211,0.8693,0.1032,0.876
0.342083,0.0211,0.8604,0.1023,0.867
0.352324,0.0209,0.8501,0.1011,0.856
0.362240,0.0207,0.8379,0.0997,0.844
0.376259,0.0201,0.8257,0.0984,0.832
0.382134,0.0195,0.8142,0.0971,0.820
0.392887,0.0188,0.8014,0.0957,0.807
0.402404,0.0181,0.7890,0.0942,0.795
0.414372,0.0174,0.7783,0.0930,0.784
0.422721,0.0167,0.7693,0.0919,0.775
0.433104,0.0158,0.7622,0.0910,0.768
0.443684,0.0151,0.7568,0.0905,0.762
0.453711,0.0146,0.7529,0.0901,0.758
0.476979,0.0141,0.7488,0.0896,0.754
0.478149,0.0136,0.7469,0.0894,0.752
0.484662,0.0131,0.7472,0.0895,0.753
0.494067,0.0128,0.7490,0.0897,0.754
0.504751,0.0124,0.7514,0.0899,0.757
0.515170,0.0121,0.7541,0.0903,0.760
0.524409,0.0118,0.7550,0.0904,0.760
0.534559,0.0116,0.7554,0.0903,0.761
0.544720,0.0115,0.7569,0.0904,0.762
0.555147,0.0116,0.7587,0.0907,0.764
0.576078,0.0118,0.7601,0.0909,0.766
0.577131,0.0120,0.7608,0.0910,0.766
0.585575,0.0124,0.7595,0.0910,0.765
0.595884,0.0127,0.7588,0.0909,0.764
0.605474,0.0132,0.7583,0.0909,0.764
0.615326,0.0137,0.7579,0.0909,0.763
0.625948,0.0144,0.7569,0.0907,0.762
0.635548,0.0152,0.7559,0.0906,0.761
0.646270,0.0157,0.7545,0.0905,0.760
0.656617,0.0161,0.7516,0.0902,0.757
0.676843,0.0163,0.7497,0.0901,0.755
0.678041,0.0166,0.7466,0.0897,0.752
0.686304,0.0168,0.7439,0.0894,0.749
0.697523,0.0170,0.7418,0.0891,0.747
0.707124,0.0173,0.7400,0.0890,0.746
0.717134,0.0175,0.7403,0.0891,0.746
0.727008,0.0177,0.7432,0.0894,0.749
0.737188,0.0181,0.7493,0.0901,0.755
0.747811,0.0183,0.7549,0.0908,0.761
0.757753,0.0184,0.7597,0.0913,0.765
0.767537,0.0185,0.7650,0.0920,0.771
0.777722,0.0186,0.7688,0.0926,0.775
0.791633,0.0187,0.7724,0.0930,0.778
0.797966,0.0188,0.7756,0.0935,0.781
0.808425,0.0189,0.7798,0.0940,0.786
0.818442,0.0191,0.7837,0.0945,0.790
0.828701,0.0192,0.7870,0.0948,0.793
0.838577,0.0193,0.7900,0.0951,0.796
0.848331,0.0193,0.7918,0.0952,0.798
0.858719,0.0195,0.7942,0.0954,0.800
0.868627,0.0232,0.7957,0.0943,0.802
0.879251,0.0249,0.7956,0.0936,0.801
0.889525,0.0257,0.7948,0.0939,0.801
0.899121,0.0255,0.7919,0.0938,0.798
0.909500,0.0236,0.7880,0.0927,0.794
0.919606,0.0227,0.7817,0.0932,0.788
0.931029,0.0223,0.7752,0.0939,0.781
0.940087,0.0220,0.7670,0.0980,0.774
0.949926,0.0211,0.7580,0.1038,0.765
0.960894,0.0208,0.7502,0.1105,0.759
0.970554,0.0205,0.7427,0.1189,0.752
0.981530,0.0206,0.7377,0.1253,0.749
0.990599,0.0207,0.7337,0.1304,0.745
1.000998,0.0198,0.7307,0.1335,0.743
1.010972,0.0190,0.7277,0.1367,0.741
1.021334,0.0175,0.7246,0.1423,0.739
1.032221,0.0154,0.7229,0.1506,0.739
1.041629,0.0141,0.7207,0.1599,0.738
1.051215,0.0154,0.7188,0.1686,0.738
1.062338,0.0163,0.7180,0.1753,0.739
1.071895,0.0171,0.7176,0.1802,0.740
1.081924,0.0193,0.7168,0.1850,0.741
1.091806,0.0223,0.7161,0.1895,0.741
1.102177,0.0264,0.7156,0.1921,0.741
1.112447,0.0313,0.7143,0.1955,0.741
1.122272,0.0357,0.7140,0.1984,0.742
1.132961,0.0397,0.7134,0.2013,0.742
1.143211,0.0418,0.7116,0.2018,0.741
1.153826,0.0440,0.7105,0.1990,0.739
1.162938,0.0450,0.7096,0.1938,0.737
1.173280,0.0464,0.7082,0.1877,0.734
1.182991,0.0479,0.7056,0.1828,0.730
