time,wx (rad/s),wy (rad/s),wz (rad/s)
0.001322,-0.05,0.10,-0.06
0.008387,-0.09,0.02,-0.10
0.018559,-0.09,0.02,-0.10
0.032504,-0.11,-0.09,-0.13
0.039045,-0.11,-0.09,-0.13
0.048683,-0.11,-0.15,-0.14
0.058689,-0.11,-0.15,-0.14
0.069596,-0.09,-0.16,-0.12
0.079072,-0.09,-0.16,-0.12
0.089634,-0.09,-0.12,-0.08
0.099489,-0.09,-0.12,-0.08
0.109959,-0.00,-0.08,-0.00
0.120442,-0.00,-0.08,-0.00
0.130020,-0.00,-0.08,-0.00
0.148113,-0.00,-0.08,-0.00
0.149837,-0.00,-0.10,0.00
0.160673,-0.00,-0.10,0.00
0.172289,-0.00,-0.11,0.00
0.180794,-0.00,-0.11,0.00
0.190433,0.00,-0.07,0.00
0.200802,0.00,-0.07,0.00
0.211089,0.00,-0.03,-0.00
0.232085,0.00,-0.03,-0.00
0.232897,0.00,-0.01,-0.00
0.241653,0.00,-0.01,-0.00
0.251662,0.00,-0.01,-0.00
0.261804,0.00,-0.01,-0.00
0.272906,0.00,0.00,-0.00
0.281794,0.00,0.00,-0.00
0.292254,0.00,0.04,-0.00
0.301933,0.00,0.04,-0.00
0.312278,0.00,0.09,-0.00
0.331990,0.00,0.09,-0.00
0.333067,0.00,0.13,-0.00
0.342228,0.00,0.13,-0.00
0.352697,0.00,0.14,-0.00
0.362783,0.00,0.14,-0.00
0.373196,0.00,0.12,-0.00
0.383131,0.00,0.12,-0.00
0.393254,0.00,0.07,0.00
0.403607,0.00,0.07,0.00
0.413542,0.00,0.04,0.00
0.433498,0.00,0.04,0.00
0.434346,0.00,0.03,0.00
0.443898,0.00,0.03,0.00
0.454946,0.00,0.01,0.00
0.463899,0.00,0.01,0.00
0.474491,0.02,-0.02,0.04
0.484572,0.02,-0.02,0.04
0.494817,-0.01,-0.05,0.01
0.505357,-0.01,-0.05,0.01
0.514848,-0.04,-0.07,-0.01
0.525353,-0.04,-0.07,-0.01
0.535318,-0.07,-0.09,0.02
0.548474,-0.07,-0.09,0.02
0.555942,-0.09,-0.12,0.08
0.565353,-0.09,-0.12,0.08
0.575452,-0.10,-0.14,0.14
0.586066,-0.10,-0.14,0.14
0.595878,-0.08,-0.11,0.17
0.605877,-0.08,-0.11,0.17
0.616702,-0.04,0.00,0.18
0.626036,-0.04,0.00,0.18
0.637024,-0.01,0.12,0.15
0.648896,-0.01,0.12,0.15
0.656670,0.00,0.18,0.12
0.667307,0.00,0.18,0.12
0.677138,-0.01,0.16,0.08
0.688846,-0.01,0.16,0.08
0.697770,-0.04,0.10,0.04
0.707005,-0.04,0.10,0.04
0.717976,-0.05,0.05,0.02
0.727640,-0.05,0.05,0.02
0.749072,-0.04,0.04,0.01
0.750043,-0.04,0.04,0.01
0.758355,-0.01,0.07,-0.00
0.768202,-0.01,0.07,-0.00
0.778238,0.03,0.11,-0.01
0.788751,0.03,0.11,-0.01
0.799024,0.06,0.14,-0.00
0.809711,0.06,0.14,-0.00
0.820196,0.08,0.15,0.01
0.829080,0.08,0.15,0.01
0.849392,0.09,0.16,0.02
0.850369,0.09,0.16,0.02
0.859125,0.09,0.16,0.02
0.869746,0.09,0.16,0.02
0.880007,0.09,0.13,0.01
0.889419,0.09,0.13,0.01
0.899904,0.07,0.11,-0.01
0.909622,0.07,0.11,-0.01
0.922082,0.05,0.10,-0.02
0.931027,0.05,0.10,-0.02
0.941293,0.04,0.09,-0.03
0.951004,0.04,0.09,-0.03
0.961078,0.04,0.07,-0.03
0.972218,0.04,0.07,-0.03
0.981119,0.04,0.04,-0.02
0.991056,0.04,0.04,-0.02
1.001682,0.04,0.02,-0.00
1.011711,0.04,0.02,-0.00
1.021704,0.03,0.01,0.04
1.032112,0.03,0.01,0.04
1.041688,0.03,0.03,0.12
1.052072,0.03,0.03,0.12
1.062254,0.03,0.08,0.21
1.072982,0.03,0.08,0.21
1.082760,0.03,0.12,0.29
1.092660,0.03,0.12,0.29
1.102688,0.03,0.10,0.36
1.112804,0.03,0.10,0.36
1.125556,0.01,0.04,0.39
1.133263,0.01,0.04,0.39
1.143476,-0.01,-0.04,0.38
1.154923,-0.01,-0.04,0.38
1.163685,-0.01,-0.11,0.33
1.173611,-0.01,-0.11,0.33
1.183942,0.03,-0.16,0.28
1.193963,0.03,-0.16,0.28
1.205032,0.01,-0.18,0.01
1.214828,0.01,-0.18,0.01
1.224936,0.01,-0.13,0.01
1.235179,0.01,-0.13,0.01
1.245105,0.02,-0.03,0.01
1.255147,0.02,-0.03,0.01
1.265213,0.02,0.09,0.01
1.275016,0.02,0.09,0.01
1.285771,0.02,0.16,0.01
1.295327,0.02,0.16,0.01
1.305416,0.02,0.18,0.01
1.315558,0.02,0.18,0.01
1.325474,0.04,0.16,0.02
1.335561,0.04,0.16,0.02
1.345931,0.32,0.16,0.07
1.356497,0.32,0.16,0.07
1.365817,0.28,0.17,-0.04
1.376168,0.28,0.17,-0.04
1.387833,0.24,0.18,-0.16
1.396207,0.24,0.18,-0.16
1.406811,0.18,0.17,-0.26
1.417320,0.18,0.17,-0.26
1.427126,0.11,0.12,-0.33
1.441647,0.11,0.12,-0.33
1.447697,0.02,0.04,-0.34
1.457137,0.02,0.04,-0.34
