time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
1.547387,0.0291,0.8739,0.0215,0.875
1.550424,0.0309,0.8765,0.0237,0.877
1.562565,0.0321,0.8777,0.0275,0.879
1.569185,0.0319,0.8777,0.0321,0.879
1.580076,0.0303,0.8760,0.0383,0.877
1.589847,0.0292,0.8732,0.0436,0.875
1.600277,0.0276,0.8697,0.0475,0.871
1.611827,0.0268,0.8664,0.0511,0.868
1.619805,0.0261,0.8620,0.0540,0.864
1.630312,0.0248,0.8568,0.0562,0.859
1.640546,0.0231,0.8520,0.0577,0.854
1.650322,0.0209,0.8469,0.0577,0.849
1.662782,0.0184,0.8423,0.0570,0.844
1.670645,0.0173,0.8407,0.0571,0.843
1.680579,0.0165,0.8400,0.0597,0.842
1.691249,0.0161,0.8402,0.0615,0.843
1.701087,0.0173,0.8411,0.0639,0.844
1.711269,0.0184,0.8429,0.0661,0.846
1.721370,0.0191,0.8454,0.0657,0.848
1.731251,0.0193,0.8484,0.0629,0.851
1.743361,0.0192,0.8518,0.0608,0.854
1.751916,0.0181,0.8547,0.0604,0.857
1.761859,0.0173,0.8573,0.0599,0.860
1.772171,0.0178,0.8587,0.0588,0.861
1.782218,0.0184,0.8597,0.0567,0.862
1.793299,0.0193,0.8613,0.0580,0.864
1.802705,0.0196,0.8628,0.0590,0.865
1.812466,0.0208,0.8631,0.0592,0.865
1.822919,0.0234,0.8644,0.0602,0.867
1.832532,0.0270,0.8664,0.0616,0.869
1.843325,0.0297,0.8684,0.0635,0.871
1.853431,0.0321,0.8712,0.0656,0.874
1.862997,0.0344,0.8736,0.0687,0.877
1.873898,0.0355,0.8755,0.0704,0.879
1.883497,0.0372,0.8769,0.0720,0.881
1.893931,0.0380,0.8769,0.0727,0.881
1.903765,0.0384,0.8759,0.0726,0.880
1.913699,0.0395,0.8724,0.0742,0.876
1.924358,0.0407,0.8660,0.0750,0.870
1.934503,0.0417,0.8586,0.0757,0.863
1.944104,0.0425,0.8512,0.0767,0.856
1.954327,0.0443,0.8453,0.0766,0.850
1.964295,0.0447,0.8412,0.0739,0.846
1.974569,0.0447,0.8368,0.0711,0.841
1.984893,0.0458,0.8332,0.0675,0.837
1.994963,0.0469,0.8288,0.0622,0.832
2.004986,0.0477,0.8231,0.0569,0.826
2.015445,0.0478,0.8178,0.0528,0.821
2.026473,0.0471,0.8135,0.0489,0.816
2.035318,0.0464,0.8104,0.0440,0.813
2.045428,0.0454,0.8066,0.0396,0.809
2.055810,0.0454,0.8023,0.0371,0.804
2.065671,0.0454,0.7988,0.0336,0.801
2.080592,0.0464,0.7953,0.0315,0.797
2.086150,0.0468,0.7920,0.0300,0.794
2.096452,0.0480,0.7900,0.0283,0.792
2.106403,0.0475,0.7885,0.0283,0.790
2.116768,0.0473,0.7896,0.0268,0.791
2.126910,0.0482,0.7941,0.0265,0.796
2.137246,0.0495,0.7987,0.0262,0.801
2.146776,0.0478,0.8041,0.0247,0.806
2.157104,0.0465,0.8116,0.0207,0.813
2.166901,0.0467,0.8191,0.0166,0.821
2.180595,0.0477,0.8288,0.0102,0.830
2.188220,0.0477,0.8385,0.0018,0.840
2.197711,0.0473,0.8475,-0.0076,0.849
2.209569,0.0469,0.8584,-0.0144,0.860
2.217538,0.0473,0.8698,-0.0214,0.871
2.227786,0.0479,0.8789,-0.0271,0.881
2.238040,0.0480,0.8868,-0.0306,0.889
2.248379,0.0485,0.8936,-0.0339,0.896
2.259505,0.0488,0.8988,-0.0372,0.901
2.269023,0.0499,0.9020,-0.0395,0.904
2.278981,0.0513,0.9028,-0.0421,0.905
2.289238,0.0539,0.9019,-0.0449,0.905
2.298742,0.0557,0.8985,-0.0477,0.902
2.309906,0.0581,0.8946,-0.0510,0.898
2.319634,0.0590,0.8878,-0.0539,0.891
2.329262,0.0590,0.8790,-0.0566,0.883
2.339466,0.0587,0.8707,-0.0588,0.875
2.349689,0.0611,0.8640,-0.0591,0.868
2.360596,0.0631,0.8567,-0.0578,0.861
2.370643,0.0633,0.8496,-0.0544,0.854
2.380080,0.0635,0.8438,-0.0502,0.848
2.390869,0.0629,0.8382,-0.0439,0.842
2.400564,0.0621,0.8333,-0.0363,0.836
2.410212,0.0613,0.8272,-0.0303,0.830
2.420383,0.0595,0.8193,-0.0252,0.822
2.430443,0.0576,0.8103,-0.0210,0.813
2.440882,0.0557,0.7998,-0.0186,0.802
2.450874,0.0541,0.7913,-0.0155,0.793
2.462776,0.0534,0.7859,-0.0111,0.788
2.471672,0.0517,0.7819,-0.0044,0.784
2.481117,0.0502,0.7811,0.0024,0.783
2.491267,0.0484,0.7823,0.0091,0.784
2.501769,0.0467,0.7851,0.0155,0.787
2.511856,0.0460,0.7883,0.0211,0.790
2.522096,0.0456,0.7937,0.0275,0.795
2.531876,0.0458,0.7976,0.0333,0.800
2.543121,0.0461,0.7999,0.0390,0.802
2.552725,0.0456,0.8025,0.0448,0.805
2.563513,0.0442,0.8054,0.0518,0.808
2.572897,0.0433,0.8082,0.0592,0.812
2.582655,0.0415,0.8100,0.0680,0.814
2.593200,0.0405,0.8127,0.0770,0.817
2.602645,0.0414,0.8164,0.0860,0.822
2.612949,0.0437,0.8214,0.0961,0.828
2.623352,0.0480,0.8268,0.1079,0.835
2.633047,0.0536,0.8326,0.1203,0.843
2.643039,0.0613,0.8402,0.1327,0.853
2.653840,0.0722,0.8460,0.1441,0.861
2.663763,0.0855,0.8514,0.1542,0.869
2.674198,0.0274,0.8592,0.0135,0.860
