time,wx (rad/s),wy (rad/s),wz (rad/s)
0.001405,0.02,-0.04,-0.10
0.007634,-0.04,-0.02,-0.07
0.026026,-0.04,-0.02,-0.07
0.026744,-0.09,0.02,-0.03
0.043727,-0.09,0.02,-0.03
0.059284,-0.10,0.06,0.01
0.060106,-0.10,0.06,0.01
0.075676,-0.09,0.08,0.05
0.076812,-0.09,0.08,0.05
0.093516,-0.05,0.08,0.07
0.108553,-0.05,0.08,0.07
0.109130,-0.02,0.05,0.08
0.125199,-0.02,0.05,0.08
0.128515,0.01,0.02,0.08
0.142303,0.01,0.02,0.08
0.158742,0.03,0.01,0.05
0.159382,0.03,0.01,0.05
0.175438,0.04,0.02,0.02
0.193241,0.04,0.02,0.02
0.194185,0.04,0.04,-0.01
0.209057,0.04,0.04,-0.01
0.210058,0.02,0.04,-0.03
0.224840,0.02,0.04,-0.03
0.242443,-0.00,0.03,-0.04
0.243167,-0.00,0.03,-0.04
0.258065,-0.03,0.01,-0.07
0.258986,-0.03,0.01,-0.07
0.275909,-0.06,-0.02,-0.10
0.293081,-0.06,-0.02,-0.10
0.293743,-0.08,-0.06,-0.13
0.309018,-0.08,-0.06,-0.13
0.310365,-0.07,-0.10,-0.14
0.325980,-0.07,-0.10,-0.14
0.342678,-0.04,-0.12,-0.14
0.343835,-0.04,-0.12,-0.14
0.359099,0.00,-0.13,-0.13
0.360664,0.00,-0.13,-0.13
0.375932,0.03,-0.11,-0.11
0.392425,0.03,-0.11,-0.11
0.393522,0.05,-0.05,-0.08
0.410527,0.05,-0.05,-0.08
0.411647,0.05,0.03,-0.05
0.426050,0.05,0.03,-0.05
0.442026,0.05,0.12,-0.01
0.443077,0.05,0.12,-0.01
0.459730,0.04,0.16,0.00
0.462099,0.04,0.16,0.00
0.476095,0.03,0.15,0.01
0.491765,0.03,0.15,0.01
0.492829,0.04,0.13,-0.00
0.508666,0.04,0.13,-0.00
0.525327,0.07,0.14,-0.00
0.526327,0.07,0.14,-0.00
0.540868,0.11,0.16,0.00
0.542981,0.11,0.16,0.00
0.556872,0.14,0.17,0.01
0.575433,0.14,0.17,0.01
0.576511,0.14,0.15,0.00
0.591252,0.14,0.15,0.00
0.594168,0.11,0.11,-0.00
0.609799,0.11,0.11,-0.00
0.625597,0.07,0.06,-0.00
0.626754,0.07,0.06,-0.00
0.642480,0.03,0.03,-0.00
0.644352,0.03,0.03,-0.00
0.658130,-0.00,0.01,-0.00
0.676344,-0.00,0.01,-0.00
0.677384,-0.03,-0.00,-0.01
0.692911,-0.03,-0.00,-0.01
0.695671,-0.06,-0.04,-0.03
0.709717,-0.06,-0.04,-0.03
0.726088,-0.07,-0.09,-0.03
0.727086,-0.07,-0.09,-0.03
0.742477,-0.07,-0.11,-0.03
0.757248,-0.07,-0.11,-0.03
0.758267,-0.06,-0.10,-0.01
0.776133,-0.06,-0.10,-0.01
0.777145,-0.05,-0.09,-0.00
0.791543,-0.05,-0.09,-0.00
0.808060,-0.04,-0.07,0.00
0.809306,-0.04,-0.07,0.00
0.824675,-0.04,-0.07,-0.00
0.827146,-0.04,-0.07,-0.00
0.842969,-0.03,-0.05,-0.01
0.858030,-0.03,-0.05,-0.01
0.859039,-0.02,-0.03,-0.01
0.874631,-0.02,-0.03,-0.01
0.877761,0.01,-0.03,-0.00
0.891776,0.01,-0.03,-0.00
0.907723,0.05,-0.05,-0.01
0.908978,0.05,-0.05,-0.01
0.925384,0.10,-0.08,-0.01
0.928421,0.10,-0.08,-0.01
0.939313,0.14,-0.11,0.00
0.955046,0.14,-0.11,0.00
0.959262,0.16,-0.14,0.02
0.974788,0.16,-0.14,0.02
0.978852,0.16,-0.15,0.04
0.991492,0.16,-0.15,0.04
