time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.009476,-0.0005,0.7375,0.1419,0.751
0.013238,-0.0006,0.7332,0.1408,0.747
0.028067,-0.0007,0.7285,0.1397,0.742
0.044618,-0.0008,0.7230,0.1387,0.736
0.045198,-0.0009,0.7214,0.1385,0.735
0.062963,-0.0010,0.7233,0.1391,0.737
0.077400,-0.0011,0.7262,0.1401,0.740
0.077972,-0.0013,0.7285,0.1410,0.742
0.094678,-0.0014,0.7318,0.1424,0.746
0.095341,-0.0015,0.7349,0.1437,0.749
0.110429,-0.0017,0.7368,0.1450,0.751
0.125811,-0.0015,0.7376,0.1463,0.752
0.126609,-0.0013,0.7374,0.1474,0.752
0.142718,-0.0009,0.7353,0.1480,0.750
0.145042,-0.0005,0.7334,0.1485,0.748
0.161733,-0.0000,0.7329,0.1492,0.748
0.175611,0.0005,0.7335,0.1499,0.749
0.176392,0.0011,0.7331,0.1501,0.748
0.192980,0.0017,0.7324,0.1502,0.748
0.195613,0.0025,0.7321,0.1504,0.747
0.209747,0.0035,0.7317,0.1508,0.747
0.227147,0.0047,0.7309,0.1512,0.746
0.227921,0.0059,0.7300,0.1517,0.746
0.242044,0.0071,0.7291,0.1523,0.745
0.246363,0.0086,0.7265,0.1527,0.742
0.260650,0.0103,0.7215,0.1526,0.738
0.276862,0.0121,0.7167,0.1527,0.733
0.277605,0.0139,0.7144,0.1532,0.731
0.292823,0.0157,0.7128,0.1539,0.729
0.297036,0.0174,0.7125,0.1548,0.729
0.310622,0.0189,0.7136,0.1561,0.731
0.326493,0.0203,0.7166,0.1578,0.734
0.327574,0.0217,0.7225,0.1601,0.740
0.342702,0.0230,0.7304,0.1628,0.749
0.347366,0.0242,0.7393,0.1656,0.758
0.360377,0.0252,0.7465,0.1679,0.766
0.378350,0.0260,0.7513,0.1696,0.771
0.379391,0.0268,0.7563,0.1714,0.776
0.393632,0.0275,0.7615,0.1730,0.781
0.409936,0.0281,0.7673,0.1747,0.787
0.410925,0.0285,0.7736,0.1764,0.794
0.428357,0.0286,0.7780,0.1777,0.799
0.429444,0.0287,0.7803,0.1784,0.801
0.443422,0.0285,0.7818,0.1787,0.802
0.460905,0.0282,0.7847,0.1792,0.805
0.462105,0.0277,0.7887,0.1798,0.809
0.477313,0.0270,0.7920,0.1802,0.813
0.479387,0.0263,0.7933,0.1803,0.814
0.494124,0.0257,0.7935,0.1800,0.814
0.511306,0.0252,0.7938,0.1797,0.814
0.512548,0.0249,0.7955,0.1797,0.816
0.527067,0.0245,0.7965,0.1795,0.817
0.530118,0.0241,0.7949,0.1785,0.815
0.544462,0.0236,0.7910,0.1771,0.811
0.561124,0.0232,0.7857,0.1754,0.805
0.562161,0.0228,0.7793,0.1736,0.799
0.578311,0.0225,0.7737,0.1721,0.793
0.593199,0.0222,0.7672,0.1704,0.786
0.594277,0.0221,0.7597,0.1687,0.779
0.610260,0.0218,0.7500,0.1665,0.769
0.611504,0.0214,0.7393,0.1642,0.758
0.626577,0.0211,0.7291,0.1618,0.747
0.643170,0.0208,0.7211,0.1599,0.739
