time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.861666,0.0197,0.8117,0.0538,0.814
0.869453,0.0193,0.7996,0.0532,0.802
0.886711,0.0188,0.7869,0.0527,0.789
0.889849,0.0184,0.7752,0.0523,0.777
0.903314,0.0180,0.7626,0.0519,0.765
0.920428,0.0176,0.7507,0.0514,0.753
0.921274,0.0174,0.7436,0.0512,0.746
0.938146,0.0172,0.7400,0.0514,0.742
0.940045,0.0172,0.7382,0.0517,0.740
0.954396,0.0173,0.7376,0.0522,0.740
0.970059,0.0176,0.7372,0.0529,0.739
0.971056,0.0176,0.7367,0.0536,0.739
0.987441,0.0177,0.7378,0.0542,0.740
0.990990,0.0178,0.7403,0.0549,0.743
1.003840,0.0179,0.7439,0.0556,0.746
1.020601,0.0181,0.7482,0.0562,0.751
1.022014,0.0182,0.7542,0.0568,0.757
1.036719,0.0185,0.7593,0.0569,0.762
1.053564,0.0186,0.7644,0.0567,0.767
1.054616,0.0188,0.7705,0.0565,0.773
1.070368,0.0191,0.7763,0.0563,0.779
1.072335,0.0192,0.7813,0.0559,0.784
1.086886,0.0195,0.7857,0.0553,0.788
1.102954,0.0196,0.7886,0.0546,0.791
1.103669,0.0198,0.7925,0.0539,0.795
1.120594,0.0199,0.7950,0.0533,0.797
1.122826,0.0199,0.7947,0.0525,0.797
1.137525,0.0200,0.7933,0.0517,0.795
1.153290,0.0201,0.7903,0.0510,0.792
1.154268,0.0201,0.7867,0.0502,0.789
1.171888,0.0203,0.7851,0.0496,0.787
1.173154,0.0206,0.7840,0.0492,0.786
1.187602,0.0209,0.7826,0.0488,0.784
1.204025,0.0213,0.7806,0.0484,0.782
1.204906,0.0216,0.7788,0.0480,0.781
1.221361,0.0219,0.7765,0.0477,0.778
1.237712,0.0222,0.7744,0.0474,0.776
1.238581,0.0224,0.7759,0.0474,0.778
1.253232,0.0227,0.7778,0.0474,0.780
1.254265,0.0231,0.7821,0.0475,0.784
1.270373,0.0235,0.7891,0.0478,0.791
1.287538,0.0239,0.7976,0.0483,0.799
1.288389,0.0243,0.8058,0.0486,0.808
1.302571,0.0245,0.8136,0.0491,0.815
1.305399,0.0246,0.8194,0.0496,0.821
1.320179,0.0247,0.8245,0.0501,0.826
1.337694,0.0246,0.8291,0.0506,0.831
1.338573,0.0244,0.8324,0.0509,0.834
1.352966,0.0242,0.8356,0.0512,0.838
1.356118,0.0240,0.8366,0.0514,0.839
1.370738,0.0236,0.8346,0.0512,0.837
1.388465,0.0233,0.8311,0.0510,0.833
1.389306,0.0229,0.8267,0.0507,0.829
1.401948,0.0224,0.8212,0.0503,0.823
1.405823,0.0220,0.8139,0.0498,0.816
1.421084,0.0214,0.8064,0.0493,0.808
1.436232,0.0209,0.7983,0.0487,0.800
1.437285,0.0204,0.7886,0.0481,0.790
1.453242,0.0199,0.7797,0.0475,0.781
1.456745,0.0194,0.7687,0.0468,0.770
1.470441,0.0189,0.7568,0.0460,0.758
1.488432,0.0183,0.7443,0.0451,0.746
1.489508,0.0176,0.7319,0.0443,0.733
1.500265,0.0171,0.7212,0.0437,0.723
1.519513,0.0167,0.7131,0.0431,0.715
1.520544,0.0164,0.7081,0.0427,0.710
1.536407,0.0163,0.7065,0.0425,0.708
1.537745,0.0162,0.7067,0.0425,0.708
1.554057,0.0162,0.7078,0.0426,0.709
1.569724,0.0162,0.7104,0.0428,0.712
1.570756,0.0160,0.7139,0.0431,0.715
1.582855,0.0156,0.7176,0.0433,0.719
1.589086,0.0153,0.7222,0.0435,0.724
1.599165,0.0150,0.7285,0.0438,0.730
1.620460,0.0145,0.7360,0.0442,0.737
1.621719,0.0140,0.7426,0.0445,0.744
1.635770,0.0133,0.7476,0.0447,0.749
1.639666,0.0125,0.7516,0.0450,0.753
1.652513,0.0117,0.7554,0.0454,0.757
1.669024,0.0109,0.7589,0.0459,0.760
1.670104,0.0100,0.7613,0.0464,0.763
1.682639,0.0093,0.7633,0.0471,0.765
1.690143,0.0087,0.7656,0.0477,0.767
1.699915,0.0080,0.7663,0.0481,0.768
1.719256,0.0074,0.7667,0.0486,0.768
1.720336,0.0066,0.7657,0.0489,0.767
1.735457,0.0058,0.7620,0.0490,0.764
1.753297,0.0050,0.7579,0.0492,0.759
1.754390,0.0042,0.7529,0.0493,0.755
1.769142,0.0034,0.7493,0.0496,0.751
1.771467,0.0029,0.7478,0.0501,0.749
1.783828,0.0025,0.7470,0.0508,0.749
1.800301,0.0023,0.7462,0.0516,0.748
1.801881,0.0021,0.7455,0.0524,0.747
1.820373,0.0022,0.7453,0.0533,0.747
1.821458,0.0024,0.7459,0.0543,0.748
1.836191,0.0027,0.7486,0.0555,0.751
1.853188,0.0031,0.7521,0.0567,0.754
1.854798,0.0036,0.7538,0.0576,0.756
1.869570,0.0043,0.7551,0.0584,0.757
1.872697,0.0050,0.7568,0.0591,0.759
1.884090,0.0060,0.7598,0.0598,0.762
1.900471,0.0071,0.7617,0.0605,0.764
1.902773,0.0083,0.7640,0.0613,0.767
1.920756,0.0094,0.7650,0.0621,0.768
1.923111,0.0106,0.7685,0.0632,0.771
1.936694,0.0119,0.7740,0.0642,0.777
1.953192,0.0132,0.7793,0.0650,0.782
1.954566,0.0145,0.7846,0.0656,0.787
1.969279,0.0158,0.7892,0.0657,0.792
1.982763,0.0170,0.7915,0.0654,0.794
1.983943,0.0181,0.7935,0.0646,0.796
1.999403,0.0191,0.7952,0.0634,0.798
2.003819,0.0199,0.7953,0.0618,0.798
2.019593,0.0207,0.7935,0.0597,0.796
2.035100,0.0215,0.7912,0.0577,0.794
2.036114,0.0222,0.7863,0.0553,0.789
2.053647,0.0230,0.7810,0.0530,0.783
2.054796,0.0240,0.7793,0.0511,0.781
