time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
1.094807,-0.0858,0.7672,0.1891,0.795
1.104617,-0.0858,0.7663,0.1914,0.794
1.115332,-0.0840,0.7659,0.1950,0.795
1.125108,-0.0794,0.7656,0.2001,0.795
1.135019,-0.0742,0.7655,0.2041,0.796
1.144920,-0.0412,0.7807,0.1251,0.792
1.155578,-0.0407,0.7798,0.1251,0.791
1.165326,-0.0401,0.7788,0.1251,0.790
1.176783,-0.0396,0.7778,0.1252,0.789
1.185693,-0.0391,0.7771,0.1253,0.788
1.195567,-0.0388,0.7767,0.1255,0.788
1.206389,-0.0383,0.7754,0.1256,0.786
1.215412,-0.0380,0.7749,0.1258,0.786
1.226312,-0.0377,0.7752,0.1261,0.786
1.236914,-0.0373,0.7739,0.1259,0.785
1.246622,-0.0371,0.7726,0.1255,0.784
1.256431,-0.0369,0.7718,0.1249,0.783
1.266630,-0.0368,0.7694,0.1241,0.780
1.277046,-0.0368,0.7685,0.1233,0.779
1.287125,-0.0371,0.7676,0.1226,0.778
1.296950,-0.0373,0.7656,0.1217,0.776
1.307259,-0.0378,0.7641,0.1208,0.775
1.317969,-0.0384,0.7612,0.1196,0.771
1.327551,-0.0391,0.7580,0.1183,0.768
1.337830,-0.0398,0.7563,0.1175,0.766
1.347643,-0.0406,0.7551,0.1169,0.765
1.358351,-0.0413,0.7556,0.1168,0.766
1.368040,-0.0421,0.7570,0.1171,0.767
1.380477,-0.0427,0.7587,0.1175,0.769
1.387946,-0.0431,0.7601,0.1181,0.770
1.398853,-0.0433,0.7617,0.1188,0.772
1.413386,-0.0434,0.7629,0.1193,0.773
1.419077,-0.0434,0.7635,0.1197,0.774
1.428459,-0.0434,0.7636,0.1200,0.774
1.439235,-0.0436,0.7640,0.1204,0.775
1.448527,-0.0437,0.7639,0.1208,0.775
1.459570,-0.0437,0.7633,0.1211,0.774
1.469070,-0.0438,0.7638,0.1214,0.775
1.479246,-0.0439,0.7635,0.1214,0.774
1.489839,-0.0438,0.7631,0.1215,0.774
1.499765,-0.0438,0.7630,0.1218,0.774
1.512984,-0.0435,0.7618,0.1220,0.773
1.520516,-0.0433,0.7620,0.1226,0.773
1.529950,-0.0428,0.7616,0.1230,0.773
1.540388,-0.0424,0.7619,0.1237,0.773
1.550276,-0.0421,0.7628,0.1243,0.774
1.560440,-0.0418,0.7627,0.1246,0.774
1.570681,-0.0416,0.7633,0.1246,0.774
1.580418,-0.0414,0.7631,0.1246,0.774
1.593216,-0.0415,0.7637,0.1247,0.775
1.601166,-0.0416,0.7630,0.1245,0.774
1.611131,-0.0419,0.7630,0.1245,0.774
1.621407,-0.0421,0.7634,0.1246,0.775
1.631537,-0.0425,0.7654,0.1250,0.777
1.642584,-0.0428,0.7683,0.1256,0.780
1.651513,-0.0433,0.7723,0.1265,0.784
1.662017,-0.0437,0.7764,0.1275,0.788
1.672043,-0.0441,0.7804,0.1287,0.792
1.682623,-0.0444,0.7833,0.1299,0.795
1.693065,-0.0446,0.7837,0.1306,0.796
1.701911,-0.0451,0.7855,0.1316,0.798
1.711962,-0.0457,0.7884,0.1325,0.801
1.722959,-0.0463,0.7899,0.1330,0.802
1.732814,-0.0469,0.7915,0.1333,0.804
1.742804,-0.0474,0.7919,0.1333,0.804
1.753021,-0.0477,0.7915,0.1331,0.804
1.763695,-0.0480,0.7918,0.1330,0.804
1.774291,-0.0481,0.7911,0.1330,0.804
1.783481,-0.0483,0.7901,0.1328,0.803
1.793964,-0.0484,0.7890,0.1324,0.801
1.803898,-0.0486,0.7886,0.1320,0.801
1.813682,-0.0487,0.7882,0.1314,0.801
1.829154,-0.0488,0.7876,0.1309,0.800
1.834482,-0.0487,0.7858,0.1302,0.798
1.843877,-0.0483,0.7831,0.1293,0.795
1.854004,-0.0476,0.7792,0.1280,0.791
1.864562,-0.0469,0.7756,0.1267,0.787
1.874809,-0.0461,0.7706,0.1251,0.782
1.884708,-0.0453,0.7667,0.1236,0.778
1.894572,-0.0446,0.7654,0.1225,0.776
1.905032,-0.0437,0.7640,0.1213,0.775
1.915074,-0.0428,0.7622,0.1202,0.773
1.929265,-0.0418,0.7613,0.1193,0.772
1.935321,-0.0408,0.7617,0.1187,0.772
1.946252,-0.0399,0.7615,0.1181,0.772
1.955662,-0.0392,0.7609,0.1175,0.771
1.965522,-0.0385,0.7591,0.1168,0.769
1.975858,-0.0381,0.7587,0.1166,0.769
1.986322,-0.0377,0.7584,0.1165,0.768
1.995932,-0.0373,0.7587,0.1165,0.768
2.006888,-0.0368,0.7581,0.1166,0.768
2.016544,-0.0362,0.7568,0.1168,0.767
2.029728,-0.0356,0.7574,0.1174,0.767
2.036718,-0.0351,0.7587,0.1180,0.769
2.046561,-0.0348,0.7603,0.1187,0.770
2.057612,-0.0348,0.7623,0.1196,0.772
2.068174,-0.0348,0.7649,0.1207,0.775
2.077185,-0.0349,0.7694,0.1220,0.780
2.087448,-0.0354,0.7763,0.1238,0.787
2.097589,-0.0361,0.7842,0.1257,0.795
2.107702,-0.0369,0.7932,0.1278,0.804
2.117812,-0.0379,0.8038,0.1303,0.815
2.127374,-0.0392,0.8150,0.1328,0.827
2.137989,-0.0406,0.8269,0.1355,0.839
2.147854,-0.0421,0.8399,0.1386,0.852
2.160252,-0.0435,0.8519,0.1415,0.865
2.169078,-0.0448,0.8635,0.1442,0.877
2.179180,-0.0458,0.8727,0.1465,0.886
2.189089,-0.0466,0.8815,0.1486,0.895
2.198747,-0.0473,0.8882,0.1503,0.902
2.213074,-0.0481,0.8949,0.1520,0.909
2.218972,-0.0490,0.9000,0.1534,0.914
2.229122,-0.0499,0.9011,0.1540,0.916
2.239802,-0.0507,0.8993,0.1544,0.914
2.249465,-0.0512,0.8951,0.1542,0.910
2.259698,-0.0515,0.8887,0.1536,0.903
2.270225,-0.0516,0.8794,0.1527,0.894
2.279792,-0.0514,0.8674,0.1515,0.882
2.290454,-0.0508,0.8514,0.1495,0.866
2.300159,-0.0499,0.8329,0.1472,0.847
2.313327,-0.0490,0.8127,0.1448,0.827
2.319964,-0.0479,0.7910,0.1420,0.805
2.330176,-0.0467,0.7691,0.1393,0.783
2.340683,-0.0453,0.7460,0.1362,0.760
2.352435,-0.0439,0.7222,0.1329,0.736
2.362848,-0.0426,0.6994,0.1298,0.713
2.371722,-0.0415,0.6784,0.1271,0.691
2.380895,-0.0403,0.6587,0.1246,0.672
2.391843,-0.0393,0.6420,0.1225,0.655
2.401508,-0.0385,0.6269,0.1208,0.640
2.412106,-0.0377,0.6123,0.1191,0.625
2.421705,-0.0369,0.5997,0.1177,0.612
2.431535,-0.0362,0.5896,0.1169,0.602
2.442470,-0.0357,0.5811,0.1162,0.594
2.451715,-0.0352,0.5744,0.1159,0.587
2.462526,-0.0348,0.5694,0.1158,0.582
2.472686,-0.0345,0.5660,0.1161,0.579
2.482680,-0.0344,0.5641,0.1165,0.577
2.493155,-0.0345,0.5646,0.1173,0.578
2.503270,-0.0347,0.5662,0.1182,0.579
2.513029,-0.0348,0.5680,0.1191,0.581
2.523333,-0.0350,0.5704,0.1200,0.584
2.532929,-0.0352,0.5717,0.1206,0.585
2.543464,-0.0354,0.5726,0.1211,0.586
2.554047,-0.0355,0.5735,0.1217,0.587
2.563559,-0.0355,0.5751,0.1222,0.589
2.575212,-0.0356,0.5765,0.1227,0.591
2.583733,-0.0357,0.5785,0.1233,0.593
2.594283,-0.0357,0.5784,0.1233,0.592
2.604139,-0.0358,0.5805,0.1238,0.595
2.614353,-0.0361,0.5829,0.1243,0.597
2.629090,-0.0364,0.5871,0.1250,0.601
2.634372,-0.0368,0.5927,0.1261,0.607
2.644179,-0.0376,0.6028,0.1281,0.617
2.655061,-0.0385,0.6155,0.1305,0.630
2.664728,-0.0396,0.6301,0.1331,0.645
2.675940,-0.0408,0.6459,0.1358,0.661
2.685082,-0.0423,0.6641,0.1389,0.680
2.695112,-0.0437,0.6827,0.1420,0.699
2.705677,-0.0451,0.7007,0.1447,0.717
2.715708,-0.0464,0.7188,0.1472,0.735
2.729861,-0.0475,0.7362,0.1493,0.753
2.735940,-0.0487,0.7551,0.1515,0.772
2.746044,-0.0499,0.7742,0.1535,0.791
2.755924,-0.0512,0.7944,0.1556,0.811
2.765912,-0.0527,0.8158,0.1577,0.833
2.776343,-0.0541,0.8366,0.1595,0.853
2.786404,-0.0555,0.8585,0.1612,0.875
2.796076,-0.0568,0.8792,0.1627,0.896
2.806873,-0.0580,0.8980,0.1637,0.915
2.816397,-0.0590,0.9167,0.1646,0.933
2.829832,-0.0600,0.9345,0.1652,0.951
2.837367,-0.0608,0.9512,0.1654,0.967
2.847154,-0.0615,0.9643,0.1649,0.980
2.859261,-0.0620,0.9754,0.1643,0.991
2.867665,-0.0625,0.9860,0.1637,1.001
2.877835,-0.0628,0.9953,0.1630,1.010
2.887835,-0.0629,1.0030,0.1618,1.018
2.898012,-0.0628,1.0094,0.1605,1.024
2.908993,-0.0627,1.0156,0.1592,1.030
2.918664,-0.0628,1.0218,0.1580,1.036
2.928574,-0.0631,1.0284,0.1570,1.042
2.938802,-0.0631,1.0326,0.1557,1.046
2.948537,-0.0628,1.0366,0.1545,1.050
2.959829,-0.0624,1.0394,0.1530,1.052
2.969071,-0.0617,1.0412,0.1513,1.054
2.978948,-0.0610,1.0421,0.1496,1.055
2.989268,-0.0601,1.0410,0.1477,1.053
