time,wx (rad/s),wy (rad/s),wz (rad/s)
0.001407,0.00,0.04,0.00
0.007412,0.00,0.04,0.00
0.023901,0.00,0.03,0.00
0.024619,0.00,0.03,0.00
0.042386,0.00,0.02,0.00
0.043709,0.00,0.02,0.00
0.059362,0.00,-0.01,0.00
0.075162,0.00,-0.01,0.00
0.075744,0.00,-0.03,-0.00
0.092000,0.00,-0.03,-0.00
0.094552,0.00,-0.04,-0.00
0.107179,0.00,-0.04,-0.00
0.123778,0.00,-0.04,-0.00
0.124991,0.00,-0.04,-0.00
0.141725,0.00,-0.02,-0.00
0.159042,0.00,-0.02,-0.00
0.159706,0.00,-0.00,-0.00
0.174561,0.00,-0.00,-0.00
0.175331,0.00,0.01,-0.00
0.190813,0.00,0.01,-0.00
0.208247,0.00,-0.01,-0.00
0.208916,0.00,-0.01,-0.00
0.223974,0.00,-0.04,-0.00
0.226166,0.00,-0.04,-0.00
0.241571,0.00,-0.04,-0.00
0.259141,0.00,-0.04,-0.00
0.259848,-0.00,-0.03,-0.00
0.274805,-0.00,-0.03,-0.00
0.277098,-0.00,-0.01,-0.00
0.291204,-0.00,-0.01,-0.00
0.308291,-0.00,0.01,-0.00
0.309269,-0.00,0.01,-0.00
0.324873,-0.00,0.01,-0.00
0.327336,-0.00,0.01,-0.00
0.342665,-0.00,-0.00,-0.00
0.358659,-0.00,-0.00,-0.00
0.359664,-0.00,-0.01,-0.00
0.375081,-0.00,-0.01,-0.00
0.378313,-0.00,-0.00,-0.00
0.391957,-0.00,-0.00,-0.00
0.407631,-0.00,0.00,-0.00
0.408668,-0.00,0.00,-0.00
0.424450,0.00,0.00,0.00
0.441559,0.00,0.00,0.00
0.442674,-0.00,-0.00,-0.00
0.457166,-0.00,-0.00,-0.00
0.460317,-0.00,-0.00,0.00
0.474622,-0.00,-0.00,0.00
0.490679,0.00,-0.00,-0.00
0.491791,0.00,-0.00,-0.00
0.507349,0.00,0.00,0.00
0.510263,0.00,0.00,0.00
0.523660,0.00,-0.00,-0.00
0.541260,0.00,-0.00,-0.00
0.542116,0.00,0.00,-0.00
0.558387,0.00,0.00,-0.00
0.574587,0.00,-0.00,0.00
0.575472,0.00,-0.00,0.00
0.590712,0.00,-0.00,0.00
0.591628,0.00,-0.00,0.00
0.609120,0.00,0.00,-0.00
0.624705,0.00,0.00,-0.00
0.625578,-0.00,0.00,-0.00
0.641135,-0.00,0.00,-0.00
0.642034,0.00,0.00,-0.00
0.658669,0.00,0.00,-0.00
0.675071,-0.00,-0.00,0.00
0.676011,-0.00,-0.00,0.00
0.690946,-0.00,0.00,0.00
0.692494,-0.00,0.00,0.00
0.707516,-0.00,0.00,-0.00
0.724590,-0.00,0.00,-0.00
0.725578,0.00,-0.00,-0.00
0.740661,0.00,-0.00,-0.00
0.743587,0.00,-0.00,-0.00
0.758817,0.00,-0.00,-0.00
0.774209,-0.00,0.00,-0.00
0.775261,-0.00,0.00,-0.00
0.791266,-0.00,-0.00,0.00
0.794187,-0.00,-0.00,0.00
0.808258,-0.00,0.00,-0.00
0.825092,-0.00,0.00,-0.00
0.826045,0.00,0.00,-0.00
0.842629,0.00,0.00,-0.00
0.844822,-0.00,0.00,0.00
0.858290,-0.00,0.00,0.00
0.874375,-0.00,0.00,-0.00
0.875437,-0.00,0.00,-0.00
0.891352,-0.00,-0.00,0.00
0.907649,-0.00,-0.00,0.00
0.908448,-0.00,0.00,0.00
0.925981,-0.00,0.00,0.00
0.927017,0.00,-0.00,0.00
0.940494,0.00,-0.00,0.00
0.956724,-0.00,-0.00,0.00
0.957633,-0.00,-0.00,0.00
0.974168,0.00,0.00,-0.00
0.976110,0.00,0.00,-0.00
0.990516,-0.00,-0.00,0.00
1.004230,-0.00,-0.00,0.00
1.007104,0.00,0.00,0.00
1.021472,0.00,0.00,0.00
1.026891,-0.00,0.00,0.00
1.040810,-0.00,0.00,0.00
1.057618,0.00,-0.00,-0.00
1.058768,0.00,-0.00,-0.00
1.074108,-0.00,0.00,-0.00
1.077500,-0.00,0.00,-0.00
1.092465,-0.00,0.00,-0.00
1.104463,-0.00,0.00,-0.00
1.108580,0.00,0.00,-0.00
1.120646,0.00,0.00,-0.00
1.142306,0.00,-0.00,0.00
1.143302,0.00,-0.00,0.00
1.159787,0.00,0.00,-0.00
1.160660,0.00,0.00,-0.00
1.168933,-0.00,-0.00,-0.00
1.179857,-0.00,-0.00,-0.00
1.189458,0.00,0.00,-0.00
1.199384,0.00,0.00,-0.00
1.209974,-0.00,0.00,-0.00
1.219103,-0.00,0.00,-0.00
1.229207,0.00,0.00,0.00
1.239866,0.00,0.00,0.00
1.249673,0.00,-0.00,-0.00
1.260016,0.00,-0.00,-0.00
1.270082,-0.00,0.00,-0.00
1.280335,-0.00,0.00,-0.00
1.291036,0.00,-0.00,-0.00
1.300116,0.00,-0.00,-0.00
1.310864,-0.00,0.00,-0.00
1.320987,-0.00,0.00,-0.00
1.330819,0.00,0.00,-0.00
1.341306,0.00,0.00,-0.00
1.350724,0.00,-0.00,-0.00
1.362296,0.00,-0.00,-0.00
1.371556,0.00,-0.00,0.00
1.380969,0.00,-0.00,0.00
1.392098,-0.04,-0.01,-0.01
1.401509,-0.04,-0.01,-0.01
1.416715,-0.04,-0.01,-0.01
1.421830,-0.04,-0.01,-0.01
1.432547,-0.00,-0.01,-0.00
1.442086,-0.00,-0.01,-0.00
1.452487,0.08,-0.01,0.00
1.462682,0.08,-0.01,0.00
1.472924,0.18,-0.01,0.01
1.482240,0.18,-0.01,0.01
1.493072,0.27,-0.00,0.01
1.502708,0.27,-0.00,0.01
1.516727,0.35,-0.00,0.01
1.523522,0.35,-0.00,0.01
1.533712,0.38,0.04,0.32
1.544203,0.38,0.04,0.32
1.553807,0.36,0.05,0.33
1.564044,0.36,0.05,0.33
1.574134,0.30,0.06,0.31
1.584151,0.30,0.06,0.31
1.594111,0.22,0.08,0.26
1.604134,0.22,0.08,0.26
1.615463,0.16,0.13,0.21
1.624403,0.16,0.13,0.21
1.634596,0.12,0.17,0.14
1.646235,0.12,0.17,0.14
1.655340,0.08,0.20,0.08
1.665082,0.08,0.20,0.08
1.675803,0.06,0.21,0.03
1.685557,0.06,0.21,0.03
1.696259,0.04,0.20,-0.01
1.706241,0.04,0.20,-0.01
1.716530,0.03,0.16,-0.04
1.726139,0.03,0.16,-0.04
1.736163,0.02,0.14,-0.04
1.746126,0.02,0.14,-0.04
1.756269,0.01,0.14,-0.03
1.766231,0.01,0.14,-0.03
1.776519,0.01,0.18,-0.01
1.786714,0.01,0.18,-0.01
1.796773,-0.00,0.20,0.03
1.807542,-0.00,0.20,0.03
1.817465,-0.01,0.18,0.07
1.828906,-0.01,0.18,0.07
1.837463,0.00,0.13,0.09
1.848191,0.00,0.13,0.09
1.857913,0.02,0.08,0.10
1.867689,0.02,0.08,0.10
1.879326,0.06,0.08,0.10
1.887874,0.06,0.08,0.10
1.898114,0.10,0.12,0.09
1.908437,0.10,0.12,0.09
1.918056,0.12,0.16,0.08
1.929131,0.12,0.16,0.08
1.938880,0.13,0.19,0.05
1.948791,0.13,0.19,0.05
1.959558,0.13,0.18,0.01
1.969080,0.13,0.18,0.01
1.979909,0.11,0.16,-0.03
1.989613,0.11,0.16,-0.03
1.999951,0.09,0.16,-0.06
2.010063,0.09,0.16,-0.06
2.020013,0.07,0.19,-0.07
2.030085,0.07,0.19,-0.07
2.040499,0.06,0.23,-0.07
2.050081,0.06,0.23,-0.07
2.062339,0.05,0.25,-0.06
2.070676,0.05,0.25,-0.06
