time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
1.926630,-0.0032,0.7573,0.0046,0.757
1.935264,-0.0035,0.7541,0.0056,0.754
1.944940,-0.0037,0.7530,0.0066,0.753
1.954865,-0.0038,0.7535,0.0076,0.754
1.965182,-0.0039,0.7543,0.0086,0.754
1.975388,-0.0039,0.7553,0.0095,0.755
1.985140,-0.0040,0.7561,0.0104,0.756
1.995057,-0.0039,0.7567,0.0112,0.757
2.005823,-0.0038,0.7575,0.0118,0.758
2.015965,-0.0037,0.7572,0.0124,0.757
2.025480,-0.0036,0.7583,0.0129,0.758
2.036283,-0.0035,0.7603,0.0132,0.760
2.045731,-0.0035,0.7628,0.0133,0.763
2.056294,-0.0036,0.7661,0.0134,0.766
2.066433,-0.0037,0.7713,0.0135,0.771
2.078564,-0.0038,0.7787,0.0135,0.779
2.086836,-0.0039,0.7855,0.0133,0.786
2.096350,-0.0040,0.7933,0.0129,0.793
2.107143,-0.0039,0.8018,0.0122,0.802
2.117380,-0.0037,0.8124,0.0114,0.812
2.126701,-0.0033,0.8241,0.0104,0.824
2.137675,-0.0031,0.8316,0.0096,0.832
2.147271,-0.0030,0.8359,0.0088,0.836
2.162507,-0.0029,0.8376,0.0081,0.838
2.167571,-0.0029,0.8380,0.0076,0.838
2.177669,-0.0029,0.8370,0.0073,0.837
2.188490,-0.0029,0.8330,0.0069,0.833
2.197920,-0.0028,0.8271,0.0065,0.827
2.209170,-0.0029,0.8198,0.0061,0.820
2.218150,-0.0030,0.8124,0.0057,0.812
2.228531,-0.0030,0.8039,0.0055,0.804
2.238645,-0.0031,0.7939,0.0052,0.794
2.249091,-0.0030,0.7846,0.0051,0.785
2.258855,-0.0028,0.7757,0.0050,0.776
2.269162,-0.0026,0.7664,0.0049,0.766
2.279098,-0.0023,0.7559,0.0048,0.756
2.289393,-0.0021,0.7458,0.0047,0.746
2.299391,-0.0019,0.7351,0.0046,0.735
2.309054,-0.0018,0.7229,0.0046,0.723
2.319841,-0.0017,0.7099,0.0044,0.710
2.329518,-0.0016,0.6963,0.0044,0.696
2.339913,-0.0015,0.6838,0.0043,0.684
2.350543,-0.0013,0.6728,0.0042,0.673
2.360159,-0.0013,0.6643,0.0040,0.664
2.370085,-0.0012,0.6565,0.0038,0.657
2.380751,-0.0012,0.6494,0.0035,0.649
2.391318,-0.0011,0.6442,0.0033,0.644
2.400802,-0.0011,0.6403,0.0030,0.640
2.410646,-0.0011,0.6400,0.0029,0.640
2.421274,-0.0010,0.6411,0.0028,0.641
2.431188,-0.0010,0.6439,0.0026,0.644
2.444972,-0.0010,0.6490,0.0025,0.649
2.451545,-0.0009,0.6553,0.0024,0.655
2.461373,-0.0009,0.6616,0.0023,0.662
