time,wx (rad/s),wy (rad/s),wz (rad/s)
0.026233,0.01,0.08,-0.05
0.026833,0.01,0.04,-0.05
0.027101,0.01,0.04,-0.05
0.029987,0.01,-0.01,-0.06
0.043676,0.01,-0.01,-0.06
0.050117,0.03,-0.07,-0.07
0.060042,0.03,-0.07,-0.07
0.069752,0.06,-0.13,-0.06
0.080662,0.06,-0.13,-0.06
0.093035,0.08,-0.16,-0.05
0.100258,0.08,-0.16,-0.05
0.110411,0.07,-0.16,-0.03
0.120560,0.07,-0.16,-0.03
0.130778,0.05,-0.11,-0.01
0.141223,0.05,-0.11,-0.01
0.150899,0.03,-0.06,-0.00
0.161290,0.03,-0.06,-0.00
0.171086,0.02,-0.01,0.02
0.192780,0.02,-0.01,0.02
0.193627,0.03,0.03,0.06
0.203154,0.03,0.03,0.06
0.212330,0.04,0.05,0.09
0.221804,0.04,0.05,0.09
0.232458,0.06,0.02,0.09
0.242221,0.06,0.02,0.09
0.252512,0.05,-0.03,0.06
0.263088,0.05,-0.03,0.06
0.272654,0.04,-0.04,0.01
0.292514,0.04,-0.04,0.01
0.293460,0.01,-0.02,-0.04
0.302463,0.01,-0.02,-0.04
0.313462,-0.02,0.01,-0.07
0.323086,-0.02,0.01,-0.07
0.333633,-0.04,0.03,-0.08
0.343653,-0.04,0.03,-0.08
0.353971,-0.05,0.06,-0.07
0.364388,-0.05,0.06,-0.07
0.374080,-0.05,0.09,-0.07
0.392955,-0.05,0.09,-0.07
0.394105,-0.04,0.13,-0.06
0.404258,-0.04,0.13,-0.06
0.415633,-0.01,0.15,-0.05
0.424670,-0.01,0.15,-0.05
0.434884,0.03,0.15,-0.03
0.445042,0.03,0.15,-0.03
0.455442,0.07,0.12,-0.01
0.466006,0.07,0.12,-0.01
0.475281,0.10,0.06,0.02
0.485903,0.10,0.06,0.02
0.495436,0.10,-0.01,0.05
0.509996,0.10,-0.01,0.05
0.516635,0.08,-0.07,0.10
0.526049,0.08,-0.07,0.10
0.536298,0.06,-0.08,0.14
0.546571,0.06,-0.08,0.14
0.556542,0.04,-0.08,0.16
0.566316,0.04,-0.08,0.16
0.577369,0.03,-0.07,0.16
0.586910,0.03,-0.07,0.16
0.597581,0.02,-0.08,0.14
0.610587,0.02,-0.08,0.14
0.616948,0.03,-0.11,0.10
0.627460,0.03,-0.11,0.10
0.637587,0.06,-0.16,0.08
0.648662,0.06,-0.16,0.08
0.657704,0.12,-0.21,0.08
0.667711,0.12,-0.21,0.08
0.677579,0.18,-0.24,0.10
0.688380,0.18,-0.24,0.10
0.709944,0.21,-0.25,0.12
0.711047,0.21,-0.25,0.12
0.718302,0.21,-0.23,0.12
0.728660,0.21,-0.23,0.12
0.739293,0.17,-0.19,0.10
0.749204,0.17,-0.19,0.10
0.759108,0.11,-0.12,0.06
0.769276,0.11,-0.12,0.06
0.779263,0.04,-0.05,-0.00
0.794527,0.04,-0.05,-0.00
0.799539,-0.05,-0.01,-0.08
0.809517,-0.05,-0.01,-0.08
