time,wx (rad/s),wy (rad/s),wz (rad/s)
0.005038,0.06,-0.14,0.05
0.014614,0.06,-0.14,0.05
0.028315,0.03,-0.12,0.01
0.034644,0.03,-0.12,0.01
0.044404,-0.02,-0.07,-0.01
0.054703,-0.02,-0.07,-0.01
0.064828,-0.04,0.00,0.02
0.074869,-0.04,0.00,0.02
0.084695,-0.01,0.05,0.05
0.095371,-0.01,0.05,0.05
0.110513,0.03,0.05,0.07
0.115460,0.03,0.05,0.07
0.125781,0.08,-0.01,0.08
0.135256,0.08,-0.01,0.08
0.146698,0.11,-0.09,0.08
0.156069,0.11,-0.09,0.08
0.167388,0.13,-0.18,0.07
0.176125,0.13,-0.18,0.07
0.186888,0.14,-0.23,0.07
0.196374,0.14,-0.23,0.07
0.210965,0.14,-0.26,0.06
0.217059,0.14,-0.26,0.06
0.227112,0.13,-0.26,0.06
0.236772,0.13,-0.26,0.06
0.247623,0.11,-0.21,0.06
0.257598,0.11,-0.21,0.06
0.267203,0.08,-0.14,0.08
0.277605,0.08,-0.14,0.08
0.287516,0.05,-0.10,0.08
0.298905,0.05,-0.10,0.08
0.311347,0.03,-0.11,0.07
0.318430,0.03,-0.11,0.07
0.328227,0.03,-0.11,0.05
0.338802,0.03,-0.11,0.05
0.348986,0.03,-0.07,0.06
0.358944,0.03,-0.07,0.06
0.368830,0.02,0.02,0.10
0.378906,0.02,0.02,0.10
0.393837,0.01,0.08,0.12
0.400397,0.01,0.08,0.12
0.409558,0.01,0.08,0.11
0.419472,0.01,0.08,0.11
0.430408,0.01,0.06,0.09
0.440185,0.01,0.06,0.09
0.450209,0.01,0.08,0.10
0.460103,0.01,0.08,0.10
0.470888,0.03,0.14,0.16
0.480947,0.03,0.14,0.16
0.490453,0.07,0.18,0.21
0.500231,0.07,0.18,0.21
0.511064,0.12,0.15,0.22
0.520710,0.12,0.15,0.22
0.531355,0.17,0.09,0.18
0.540833,0.17,0.09,0.18
0.551016,0.20,0.06,0.13
0.561193,0.20,0.06,0.13
0.571459,0.24,0.07,0.11
0.581637,0.24,0.07,0.11
0.593890,0.28,0.08,0.13
0.601777,0.28,0.08,0.13
0.612165,0.33,0.03,0.18
0.622063,0.33,0.03,0.18
0.633655,0.38,-0.08,0.25
0.642926,0.38,-0.08,0.25
0.652486,0.42,-0.20,0.33
0.662680,0.42,-0.20,0.33
0.672560,0.46,-0.30,0.39
0.685988,0.46,-0.30,0.39
0.693707,0.49,-0.39,0.41
0.703087,0.49,-0.39,0.41
0.713299,0.49,-0.50,0.40
0.723223,0.49,-0.50,0.40
0.733495,0.44,-0.58,0.36
0.744089,0.44,-0.58,0.36
0.754068,0.35,-0.58,0.31
0.764317,0.35,-0.58,0.31
0.775051,0.26,-0.51,0.27
0.794030,0.26,-0.51,0.27
0.795106,0.22,-0.41,0.21
0.804332,0.22,-0.41,0.21
0.814944,0.24,-0.35,0.16
0.824871,0.24,-0.35,0.16
0.835119,0.37,-0.35,0.12
0.845023,0.37,-0.35,0.12
0.855240,0.62,-0.40,0.11
0.867694,0.62,-0.40,0.11
0.875903,0.92,-0.47,0.14
0.885083,0.92,-0.47,0.14
0.895766,1.08,-0.52,0.18
0.906240,1.08,-0.52,0.18
0.916895,1.00,-0.54,0.20
0.925855,1.00,-0.54,0.20
0.936137,0.65,-0.52,0.19
0.946957,0.65,-0.52,0.19
0.956614,0.05,-0.37,0.08
0.968029,0.05,-0.37,0.08
0.976845,-0.61,-0.03,-0.21
0.987387,-0.61,-0.03,-0.21
0.997981,-1.06,0.37,-0.59
1.007757,-1.06,0.37,-0.59
1.017810,-1.20,0.65,-0.89
1.027656,-1.20,0.65,-0.89
1.037569,-1.18,0.71,-0.96
1.048247,-1.18,0.71,-0.96
1.057977,-1.16,0.65,-0.86
1.067582,-1.16,0.65,-0.86
1.079129,-1.10,0.53,-0.70
1.087766,-1.10,0.53,-0.70
1.099930,-0.85,0.39,-0.57
1.108880,-0.85,0.39,-0.57
1.119011,-0.40,0.25,-0.47
1.129322,-0.40,0.25,-0.47
1.139359,0.29,0.13,-0.38
1.149885,0.29,0.13,-0.38
1.159650,1.32,0.00,-0.25
1.169246,1.32,0.00,-0.25
1.180030,2.43,-0.18,-0.05
1.189605,2.43,-0.18,-0.05
1.199881,2.80,-0.32,0.24
1.210268,2.80,-0.32,0.24
1.220757,2.12,-0.23,0.43
1.230403,2.12,-0.23,0.43
1.240499,1.12,0.09,0.38
1.250341,1.12,0.09,0.38
1.261495,0.48,0.39,0.17
1.270748,0.48,0.39,0.17
1.281268,0.25,0.53,-0.01
1.290929,0.25,0.53,-0.01
1.301370,0.22,0.46,-0.05
1.311591,0.22,0.46,-0.05
1.321648,0.25,0.26,0.04
1.331338,0.25,0.26,0.04
1.342016,0.32,0.04,0.17
1.352060,0.32,0.04,0.17
1.362382,0.36,-0.13,0.27
1.372432,0.36,-0.13,0.27
1.387759,0.37,-0.20,0.30
1.392230,0.37,-0.20,0.30
1.402865,0.36,-0.20,0.29
1.413237,0.36,-0.20,0.29
1.422804,0.40,-0.15,0.27
1.433404,0.40,-0.15,0.27
1.442802,0.52,-0.06,0.25
1.452715,0.52,-0.06,0.25
1.463134,0.70,0.12,0.25
1.473070,0.70,0.12,0.25
1.486942,0.90,0.36,0.27
1.493924,0.90,0.36,0.27
1.503615,1.02,0.59,0.30
1.514238,1.02,0.59,0.30
1.525033,1.04,0.73,0.34
1.534386,1.04,0.73,0.34
1.544417,1.15,0.73,0.43
1.554458,1.15,0.73,0.43
1.564717,1.70,0.47,0.60
1.574992,1.70,0.47,0.60
1.586404,3.07,-0.33,1.00
1.595469,3.07,-0.33,1.00
1.604785,5.45,-2.43,2.18
1.616423,5.45,-2.43,2.18
1.625580,8.44,-8.52,7.37
1.635585,8.44,-8.52,7.37
1.645625,13.10,-11.56,27.53
1.655575,13.10,-11.56,27.53
1.667254,25.01,-5.57,37.98
1.676617,25.01,-5.57,37.98
1.686737,28.64,0.01,22.56
1.696725,28.64,0.01,22.56
1.706128,20.31,-1.59,10.42
1.716520,20.31,-1.59,10.42
1.726102,17.77,-9.54,10.10
1.736756,17.77,-9.54,10.10
1.747627,20.01,-24.24,26.33
1.756985,20.01,-24.24,26.33
1.766686,26.13,-24.93,32.76
1.778068,26.13,-24.93,32.76
1.787530,27.79,-11.52,16.82
1.797875,27.79,-11.52,16.82
1.807430,22.49,-5.23,5.72
1.817712,22.49,-5.23,5.72
1.828043,15.75,-2.73,1.20
1.837795,15.75,-2.73,1.20
