time,wx (rad/s),wy (rad/s),wz (rad/s)
1.712319,0.25,0.26,0.00
1.722145,0.05,0.13,0.04
1.732191,0.05,0.13,0.04
1.742164,-0.05,-0.11,0.10
1.752099,-0.05,-0.11,0.10
1.762859,-0.12,-0.35,0.15
1.772799,-0.12,-0.35,0.15
1.782742,-0.21,-0.47,0.20
1.793802,-0.21,-0.47,0.20
1.802593,-0.41,-0.44,0.24
1.812920,-0.41,-0.44,0.24
1.823905,-0.74,-0.31,0.25
1.832990,-0.74,-0.31,0.25
1.843559,-1.16,-0.18,0.19
1.853403,-1.16,-0.18,0.19
1.864770,-1.64,-0.09,0.06
1.874018,-1.64,-0.09,0.06
1.884276,-2.19,-0.03,-0.22
1.894690,-2.19,-0.03,-0.22
1.904213,-3.02,-0.02,-0.77
1.914570,-3.02,-0.02,-0.77
1.924334,-4.73,-0.17,-2.04
1.934862,-4.73,-0.17,-2.04
1.945392,-9.36,-1.00,-6.63
1.954768,-9.36,-1.00,-6.63
1.965063,-15.75,1.80,-24.20
1.975018,-15.75,1.80,-24.20
1.985337,-19.95,8.77,-33.61
1.995844,-19.95,8.77,-33.61
2.005763,-17.81,9.81,-22.40
2.015945,-17.81,9.81,-22.40
2.025704,-11.81,5.21,-11.19
2.035718,-11.81,5.21,-11.19
2.046560,-6.09,2.18,-4.82
2.056563,-6.09,2.18,-4.82
2.066644,-1.90,0.90,-2.69
2.076553,-1.90,0.90,-2.69
2.086445,1.08,0.17,-1.56
2.101741,1.08,0.17,-1.56
2.107403,3.24,-0.51,-1.03
2.116949,3.24,-0.51,-1.03
2.127119,6.55,-2.60,-0.36
2.137230,6.55,-2.60,-0.36
2.148254,16.39,-22.16,23.35
2.157672,16.39,-22.16,23.35
2.167964,28.40,-27.49,35.38
2.178440,28.40,-27.49,35.38
2.188440,27.41,-9.89,16.72
2.201877,27.41,-9.89,16.72
2.208149,18.11,-2.97,6.27
2.218255,18.11,-2.97,6.27
2.230952,9.97,-0.39,2.12
2.238654,9.97,-0.39,2.12
2.249444,5.59,0.40,0.63
2.259090,5.59,0.40,0.63
2.269649,3.22,0.45,0.14
2.279505,3.22,0.45,0.14
2.289421,1.91,0.26,-0.03
2.301221,1.91,0.26,-0.03
2.309816,1.20,0.04,-0.10
2.319936,1.20,0.04,-0.10
2.331271,0.82,-0.13,-0.13
2.340381,0.82,-0.13,-0.13
2.350534,0.57,-0.24,-0.12
2.360648,0.57,-0.24,-0.12
2.370724,0.34,-0.30,-0.05
2.381160,0.34,-0.30,-0.05
2.391197,0.01,-0.30,0.10
2.401443,0.01,-0.30,0.10
2.411483,-0.46,-0.27,0.26
2.421252,-0.46,-0.27,0.26
2.431527,-1.09,-0.24,0.37
2.441634,-1.09,-0.24,0.37
2.451701,-1.82,-0.25,0.35
2.461544,-1.82,-0.25,0.35
2.471915,-2.62,-0.28,0.14
2.481289,-2.62,-0.28,0.14
2.492014,-3.56,-0.36,-0.34
2.501873,-3.56,-0.36,-0.34
2.512764,-4.89,-0.61,-1.33
2.522428,-4.89,-0.61,-1.33
2.532345,-6.81,-1.29,-3.49
2.542296,-6.81,-1.29,-3.49
2.552974,-9.15,-2.44,-9.43
2.562728,-9.15,-2.44,-9.43
2.573643,-10.54,-1.27,-22.63
2.582955,-10.54,-1.27,-22.63
2.593684,-11.56,3.43,-30.32
2.602995,-11.56,3.43,-30.32
2.614289,-12.15,6.08,-22.97
2.623819,-12.15,6.08,-22.97
2.633868,-11.45,4.93,-13.18
2.644284,-11.45,4.93,-13.18
2.654824,-9.32,3.16,-6.53
2.664492,-9.32,3.16,-6.53
2.674625,-6.99,1.82,-3.18
2.684208,-6.99,1.82,-3.18
2.694721,-5.06,0.98,-1.62
2.704895,-5.06,0.98,-1.62
2.714386,-3.79,0.48,-0.73
2.724892,-3.79,0.48,-0.73
2.734955,-2.75,0.13,-0.38
2.745899,-2.75,0.13,-0.38
2.755502,-0.14,0.03,-0.20
2.765225,-0.14,0.03,-0.20
2.775725,9.41,0.16,-0.33
2.785712,9.41,0.16,-0.33
2.796336,10.31,0.29,23.42
2.805769,10.31,0.29,23.42
2.816342,8.20,0.31,33.77
2.825945,8.20,0.31,33.77
2.836901,11.14,0.14,14.87
2.847851,11.14,0.14,14.87
2.856719,7.72,0.03,6.26
2.866344,7.72,0.03,6.26
2.876875,4.64,0.01,2.59
2.887491,4.64,0.01,2.59
2.901271,2.56,-0.05,1.07
2.908027,2.56,-0.05,1.07
2.917659,1.33,-0.08,0.47
2.927787,1.33,-0.08,0.47
2.937718,0.68,-0.09,0.26
2.947954,0.68,-0.09,0.26
2.958022,0.31,-0.10,0.26
2.968595,0.31,-0.10,0.26
2.978517,0.04,-0.10,0.35
2.988253,0.04,-0.10,0.35
3.001332,-0.18,-0.06,0.44
3.009130,-0.18,-0.06,0.44
3.018586,-0.34,0.03,0.48
3.029563,-0.34,0.03,0.48
3.039376,-0.44,0.14,0.49
3.049161,-0.44,0.14,0.49
3.059650,-0.51,0.24,0.49
3.069809,-0.51,0.24,0.49
3.081265,-0.54,0.32,0.50
3.089914,-0.54,0.32,0.50
3.100225,-0.56,0.38,0.50
3.110244,-0.56,0.38,0.50
3.119932,-0.58,0.39,0.49
3.130846,-0.58,0.39,0.49
3.140841,-0.55,0.34,0.46
3.150887,-0.55,0.34,0.46
3.160926,-0.44,0.25,0.41
3.171040,-0.44,0.25,0.41
3.180729,-0.26,0.14,0.36
3.191830,-0.26,0.14,0.36
3.201396,-0.12,0.05,0.33
3.211873,-0.12,0.05,0.33
3.221268,-0.01,-0.02,0.31
3.231382,-0.01,-0.02,0.31
3.241533,0.15,-0.09,0.29
3.252307,0.15,-0.09,0.29
3.262194,0.49,-0.16,0.25
3.272322,0.49,-0.16,0.25
3.282377,0.98,-0.22,0.21
3.292767,0.98,-0.22,0.21
3.302642,1.46,-0.24,0.16
3.314146,1.46,-0.24,0.16
3.323054,1.76,-0.20,0.11
3.333512,1.76,-0.20,0.11
3.343363,1.79,-0.12,0.07
3.353364,1.79,-0.12,0.07
3.364307,1.51,-0.00,0.04
3.373897,1.51,-0.00,0.04
3.383307,0.96,0.16,0.04
3.394010,0.96,0.16,0.04
3.403719,0.32,0.35,0.08
3.413968,0.32,0.35,0.08
3.423998,-0.13,0.51,0.11
3.434201,-0.13,0.51,0.11
3.445141,-0.26,0.60,0.09
3.454803,-0.26,0.60,0.09
3.464391,-0.17,0.60,0.05
3.475563,-0.17,0.60,0.05
3.485218,-0.00,0.55,-0.00
3.494986,-0.00,0.55,-0.00
3.505326,0.18,0.48,-0.04
3.515363,0.18,0.48,-0.04
3.526011,0.34,0.40,-0.05
3.535959,0.34,0.40,-0.05
3.547195,0.46,0.30,-0.05
3.556174,0.46,0.30,-0.05
3.565638,0.53,0.19,-0.04
3.576690,0.53,0.19,-0.04
3.586169,0.54,0.07,-0.02
3.601395,0.54,0.07,-0.02
3.606424,0.49,-0.01,-0.00
3.616889,0.49,-0.01,-0.00
3.626871,0.41,-0.04,0.01
3.636798,0.41,-0.04,0.01
3.647472,0.33,-0.03,0.00
3.657451,0.33,-0.03,0.00
3.667012,0.26,0.02,-0.03
3.677697,0.26,0.02,-0.03
3.687292,0.22,0.08,-0.07
3.701159,0.22,0.08,-0.07
3.707948,0.19,0.16,-0.11
3.717905,0.19,0.16,-0.11
3.728746,0.17,0.24,-0.13
3.738022,0.17,0.24,-0.13
3.749041,0.13,0.29,-0.15
3.759202,0.13,0.29,-0.15
3.768150,0.08,0.31,-0.16
3.778840,0.08,0.31,-0.16
3.789259,0.02,0.29,-0.19
3.800904,0.02,0.29,-0.19
3.809251,-0.02,0.24,-0.23
3.819072,-0.02,0.24,-0.23
3.830679,-0.03,0.19,-0.25
3.839462,-0.03,0.19,-0.25
3.849692,-0.03,0.14,-0.24
3.860002,-0.03,0.14,-0.24
3.870043,-0.03,0.11,-0.19
3.880503,-0.03,0.11,-0.19
3.890213,-0.03,0.10,-0.12
3.900924,-0.03,0.10,-0.12
3.910932,-0.03,0.09,-0.06
3.921060,-0.03,0.09,-0.06
3.930716,-0.04,0.07,-0.01
3.940885,-0.04,0.07,-0.01
3.951333,-0.05,0.04,0.01
3.961555,-0.05,0.04,0.01
3.971528,-0.06,0.01,0.01
3.981149,-0.06,0.01,0.01
3.991667,-0.07,-0.01,0.02
4.001819,-0.07,-0.01,0.02
4.012330,-0.07,-0.03,0.03
4.022144,-0.07,-0.03,0.03
4.032293,-0.07,-0.04,0.03
4.042281,-0.07,-0.04,0.03
4.052297,-0.04,-0.04,0.03
4.064487,-0.04,-0.04,0.03
4.072650,-0.01,-0.03,0.03
4.082423,-0.01,-0.03,0.03
4.093099,0.03,-0.02,0.02
4.103063,0.03,-0.02,0.02
4.117425,0.06,0.02,0.01
4.123671,0.06,0.02,0.01
4.133281,0.08,0.08,0.01
4.143323,0.08,0.08,0.01
4.153849,0.09,0.14,0.01
4.164163,0.09,0.14,0.01
4.174279,0.10,0.16,-0.01
4.184095,0.10,0.16,-0.01
4.194340,0.10,0.15,-0.04
4.204009,0.10,0.15,-0.04
4.218021,0.10,0.13,-0.06
4.224580,0.10,0.13,-0.06
4.234702,0.10,0.12,-0.07
4.245069,0.10,0.12,-0.07
4.254927,0.07,0.12,-0.05
4.264894,0.07,0.12,-0.05
4.275634,0.03,0.10,-0.06
4.285486,0.03,0.10,-0.06
4.296998,-0.01,0.01,-0.09
4.305671,-0.01,0.01,-0.09
4.317129,-0.04,-0.00,-0.14
4.325937,-0.04,-0.00,-0.14
4.335789,-0.07,-0.01,-0.17
4.346687,-0.07,-0.01,-0.17
4.356440,-0.08,-0.01,-0.15
4.366574,-0.08,-0.01,-0.15
4.377059,-0.25,-0.12,-0.10
4.386999,-0.25,-0.12,-0.10
4.400568,-0.22,-0.27,-0.04
4.406673,-0.22,-0.27,-0.04
4.416861,-0.24,-0.45,0.02
4.427363,-0.24,-0.45,0.02
4.437813,-0.29,-0.56,0.08
4.447074,-0.29,-0.56,0.08
4.457636,-0.30,-0.57,0.14
4.468007,-0.30,-0.57,0.14
4.478392,-0.23,-0.51,0.16
4.488004,-0.23,-0.51,0.16
4.500784,-0.14,-0.44,0.14
4.507831,-0.14,-0.44,0.14
4.518148,-0.19,-0.27,0.01
4.528802,-0.19,-0.27,0.01
4.538813,-0.56,0.12,-0.29
4.549237,-0.56,0.12,-0.29
4.558953,-1.20,0.54,-0.60
4.568741,-1.20,0.54,-0.60
4.580456,-1.75,0.53,-0.66
4.589351,-1.75,0.53,-0.66
4.599178,-1.92,0.01,-0.45
4.609403,-1.92,0.01,-0.45
4.619539,-1.70,-0.60,-0.17
4.629885,-1.70,-0.60,-0.17
4.640150,-1.23,-0.91,0.03
4.649888,-1.23,-0.91,0.03
4.660562,-0.68,-0.79,0.14
4.670254,-0.68,-0.79,0.14
4.680388,-0.16,-0.36,0.21
4.691015,-0.16,-0.36,0.21
4.700149,0.29,0.15,0.26
4.710968,0.29,0.15,0.26
4.721148,0.65,0.63,0.24
4.731167,0.65,0.63,0.24
4.741702,0.93,1.01,0.16
4.751444,0.93,1.01,0.16
4.761560,0.99,1.26,-0.01
4.771748,0.99,1.26,-0.01
4.781594,0.64,1.26,-0.24
4.792649,0.64,1.26,-0.24
4.802272,-0.27,0.90,-0.49
4.816610,-0.27,0.90,-0.49
4.822219,-1.80,0.18,-0.72
4.833322,-1.80,0.18,-0.72
4.842601,-4.27,-0.73,-1.07
4.852690,-4.27,-0.73,-1.07
4.863651,-8.95,-1.90,-2.22
4.873267,-8.95,-1.90,-2.22
4.883140,-8.46,-2.47,-11.74
4.893169,-8.46,-2.47,-11.74
4.903212,-3.31,-2.35,-34.87
4.917312,-3.31,-2.35,-34.87
4.924191,-6.13,-2.68,-34.38
4.933790,-6.13,-2.68,-34.38
4.944224,-9.80,-2.07,-14.25
4.953724,-9.80,-2.07,-14.25
4.963985,-7.51,-0.90,-6.53
4.974417,-7.51,-0.90,-6.53
4.983927,-4.95,-0.52,-3.29
4.994460,-4.95,-0.52,-3.29
5.005033,-2.79,-0.14,-2.18
5.015446,-2.79,-0.14,-2.18
5.024624,-0.37,0.93,-2.80
5.034757,-0.37,0.93,-2.80
5.045863,3.78,-5.12,-24.51
5.054718,3.78,-5.12,-24.51
5.065703,14.48,-7.18,-47.11
5.076227,14.48,-7.18,-47.11
5.085340,16.69,-0.77,-36.22
5.096256,16.69,-0.77,-36.22
5.106420,7.75,1.11,-17.54
5.116515,7.75,1.11,-17.54
5.127107,3.20,1.39,-8.67
5.136424,3.20,1.39,-8.67
5.147486,1.36,1.31,-4.41
5.156872,1.36,1.31,-4.41
5.166930,0.68,1.18,-2.40
5.177552,0.68,1.18,-2.40
5.186929,0.42,1.03,-1.38
5.197132,0.42,1.03,-1.38
5.207959,0.28,0.81,-0.80
5.217442,0.28,0.81,-0.80
5.227976,0.14,0.47,-0.45
5.244116,0.14,0.47,-0.45
5.247984,0.04,0.08,-0.21
5.258882,0.04,0.08,-0.21
5.268336,-0.02,-0.26,-0.04
5.280332,-0.02,-0.26,-0.04
5.288742,-0.04,-0.51,0.13
5.298163,-0.04,-0.51,0.13
5.308742,-0.08,-0.64,0.31
5.318989,-0.08,-0.64,0.31
5.329823,-0.19,-0.61,0.49
5.339367,-0.19,-0.61,0.49
5.349031,-0.45,-0.41,0.66
5.359150,-0.45,-0.41,0.66
5.369794,-0.95,-0.10,0.83
5.380872,-0.95,-0.10,0.83
5.389921,-1.90,0.16,1.08
5.399509,-1.90,0.16,1.08
5.410401,-4.13,0.09,1.62
5.420010,-4.13,0.09,1.62
5.429848,-11.30,-0.79,-0.37
5.440747,-11.30,-0.79,-0.37
5.450614,-12.13,-0.03,37.26
5.460995,-12.13,-0.03,37.26
5.470984,-11.78,2.16,53.42
5.481334,-11.78,2.16,53.42
5.491229,-13.40,1.44,21.87
5.500913,-13.40,1.44,21.87
5.516553,-8.83,-0.53,10.79
5.521551,-8.83,-0.53,10.79
5.532394,-4.90,-1.35,5.38
5.541708,-4.90,-1.35,5.38
5.551922,-2.47,-1.80,2.91
5.562721,-2.47,-1.80,2.91
5.572425,-0.90,-2.20,1.90
5.582200,-0.90,-2.20,1.90
5.592313,1.97,-4.39,3.13
5.602663,1.97,-4.39,3.13
5.616992,11.84,-8.69,37.12
5.622712,11.84,-8.69,37.12
5.633114,17.32,-8.61,51.39
5.642830,17.32,-8.61,51.39
5.653539,10.87,-4.67,23.95
5.663228,10.87,-4.67,23.95
5.673867,4.51,-2.31,10.97
5.683682,4.51,-2.31,10.97
5.693523,1.55,-0.99,4.98
5.703570,1.55,-0.99,4.98
5.716683,0.39,-0.32,2.45
5.724358,0.39,-0.32,2.45
5.734458,-0.01,-0.01,1.31
5.744286,-0.01,-0.01,1.31
5.754598,-0.17,0.09,0.76
5.765316,-0.17,0.09,0.76
5.774379,-0.29,0.07,0.50
5.785956,-0.29,0.07,0.50
5.796371,-0.39,-0.04,0.42
5.805295,-0.39,-0.04,0.42
5.815691,-0.46,-0.18,0.43
5.825923,-0.46,-0.18,0.43
5.835891,-0.53,-0.31,0.53
5.848436,-0.53,-0.31,0.53
5.855827,-0.70,-0.41,0.67
5.865975,-0.70,-0.41,0.67
5.876186,-0.99,-0.46,0.81
5.885809,-0.99,-0.46,0.81
5.896173,-1.39,-0.46,0.92
5.906330,-1.39,-0.46,0.92
5.916370,-1.99,-0.45,1.05
5.926880,-1.99,-0.45,1.05
5.937172,-3.25,-0.57,1.38
5.946393,-3.25,-0.57,1.38
5.957282,-6.93,-1.07,2.60
5.966946,-6.93,-1.07,2.60
5.977704,-16.32,-1.91,13.88
5.988234,-16.32,-1.91,13.88
5.997586,-12.14,-21.46,41.03
6.008281,-12.14,-21.46,41.03
6.017698,-5.57,-28.85,41.61
6.027898,-5.57,-28.85,41.61
6.038364,-7.70,-12.72,18.03
6.049228,-7.70,-12.72,18.03
6.058648,-5.50,-6.12,8.46
6.068930,-5.50,-6.12,8.46
6.079712,-3.01,-2.73,3.57
6.089317,-3.01,-2.73,3.57
6.099560,-1.02,-0.86,0.87
6.109457,-1.02,-0.86,0.87
6.118883,-0.75,0.63,-1.39
6.129502,-0.75,0.63,-1.39
6.139645,-1.55,20.25,-3.62
6.150042,-1.55,20.25,-3.62
6.160428,9.82,30.63,-23.53
6.169779,9.82,30.63,-23.53
6.180375,17.28,16.71,-31.61
6.190472,17.28,16.71,-31.61
6.200499,10.08,8.32,-15.82
6.211073,10.08,8.32,-15.82
6.220221,5.09,3.60,-7.01
6.230945,5.09,3.60,-7.01
6.241082,2.76,1.27,-3.03
6.250896,2.76,1.27,-3.03
6.262211,1.69,0.15,-1.20
6.271315,1.69,0.15,-1.20
6.281104,1.10,-0.35,-0.36
6.291896,1.10,-0.35,-0.36
6.301097,0.69,-0.52,0.01
6.317730,0.69,-0.52,0.01
6.321282,0.42,-0.53,0.18
6.332063,0.42,-0.53,0.18
6.342096,0.25,-0.43,0.24
6.352330,0.25,-0.43,0.24
6.363230,0.12,-0.26,0.23
6.372297,0.12,-0.26,0.23
6.382536,-0.05,-0.06,0.17
6.392616,-0.05,-0.06,0.17
6.403391,-0.37,0.10,0.06
6.418320,-0.37,0.10,0.06
6.423292,-0.87,0.19,-0.12
6.432968,-0.87,0.19,-0.12
6.443279,-1.62,0.20,-0.40
6.453505,-1.62,0.20,-0.40
6.463791,-2.75,0.11,-0.79
6.474232,-2.75,0.11,-0.79
6.483961,-4.74,-0.21,-1.41
6.495564,-4.74,-0.21,-1.41
6.504848,-9.51,-1.31,-3.27
6.514658,-9.51,-1.31,-3.27
6.525117,-17.98,-1.30,-21.56
6.534678,-17.98,-1.30,-21.56
6.545679,-25.23,8.76,-37.53
6.555490,-25.23,8.76,-37.53
6.565668,-22.75,13.65,-27.12
6.575103,-22.75,13.65,-27.12
6.585034,-14.47,6.90,-13.22
6.595645,-14.47,6.90,-13.22
6.606347,-6.92,3.25,-6.12
6.615826,-6.92,3.25,-6.12
6.626284,-2.21,1.81,-3.24
6.635615,-2.21,1.81,-3.24
6.646211,0.91,1.50,-2.46
6.656288,0.91,1.50,-2.46
6.666582,4.63,2.16,-3.34
6.676416,4.63,2.16,-3.34
6.686838,-7.63,25.94,-35.56
6.696974,-7.63,25.94,-35.56
6.707517,-3.13,37.52,-52.78
6.717438,-3.13,37.52,-52.78
6.727069,15.15,19.45,-28.92
6.737484,15.15,19.45,-28.92
6.747349,11.62,9.66,-14.53
6.758147,11.62,9.66,-14.53
6.767453,6.48,4.24,-6.52
6.778633,6.48,4.24,-6.52
6.787920,3.46,1.45,-2.85
6.798644,3.46,1.45,-2.85
6.808556,2.10,0.04,-1.23
6.818181,2.10,0.04,-1.23
6.829351,1.61,-0.63,-0.53
6.838418,1.61,-0.63,-0.53
6.848613,1.31,-0.92,-0.16
6.858675,1.31,-0.92,-0.16
6.868704,0.88,-0.96,0.15
6.878767,0.88,-0.96,0.15
6.889668,0.29,-0.72,0.46
6.899067,0.29,-0.72,0.46
6.909831,-0.40,-0.31,0.74
6.919392,-0.40,-0.31,0.74
6.930468,-1.15,0.12,0.99
6.939967,-1.15,0.12,0.99
6.950149,-2.00,0.41,1.23
6.961762,-2.00,0.41,1.23
6.970300,-3.12,0.57,1.53
6.980108,-3.12,0.57,1.53
6.990591,-4.77,0.63,1.89
7.001489,-4.77,0.63,1.89
7.015884,-7.42,0.55,2.17
7.021058,-7.42,0.55,2.17
7.031157,-11.75,0.07,1.40
7.041054,-11.75,0.07,1.40
7.051077,-18.20,-0.96,-25.31
7.062119,-18.20,-0.96,-25.31
7.071562,-22.38,3.22,-46.23
7.081664,-22.38,3.22,-46.23
7.092173,-19.60,6.38,-29.62
7.101747,-19.60,6.38,-29.62
7.115719,-14.55,3.47,-12.92
7.122416,-14.55,3.47,-12.92
7.132057,-9.33,1.41,-4.94
7.142761,-9.33,1.41,-4.94
7.153335,-5.45,0.14,-1.71
7.163159,-5.45,0.14,-1.71
7.173092,-2.52,-0.70,-0.44
7.183273,-2.52,-0.70,-0.44
7.193102,0.31,-1.62,0.21
7.203730,0.31,-1.62,0.21
7.215724,6.14,-6.48,4.49
7.223993,6.14,-6.48,4.49
7.233755,18.93,-11.23,33.50
7.243879,18.93,-11.23,33.50
7.254028,28.88,-7.22,41.63
7.264794,28.88,-7.22,41.63
7.274872,24.13,-1.65,17.28
7.284946,24.13,-1.65,17.28
7.295745,14.13,-0.32,6.83
7.304760,14.13,-0.32,6.83
7.314271,7.15,0.10,2.54
7.325294,7.15,0.10,2.54
7.334678,3.54,0.17,0.92
7.345563,3.54,0.17,0.92
7.355257,1.68,0.08,0.37
7.365807,1.68,0.08,0.37
7.375625,0.68,-0.03,0.23
7.385561,0.68,-0.03,0.23
7.397248,0.08,-0.13,0.25
7.405987,0.08,-0.13,0.25
7.415848,-0.33,-0.19,0.35
7.426196,-0.33,-0.19,0.35
7.436309,-0.68,-0.21,0.43
7.446372,-0.68,-0.21,0.43
7.458026,-1.01,-0.17,0.41
7.466684,-1.01,-0.17,0.41
7.478897,-1.31,-0.12,0.29
7.486753,-1.31,-0.12,0.29
7.497740,-1.66,-0.09,0.07
7.508147,-1.66,-0.09,0.07
7.517195,-2.27,-0.11,-0.25
7.529674,-2.27,-0.11,-0.25
7.537786,-3.58,-0.30,-0.79
7.547833,-3.58,-0.30,-0.79
7.558436,-6.29,-0.94,-2.02
7.567977,-6.29,-0.94,-2.02
7.578899,-11.42,-1.19,-1.39
