time,wx (rad/s),wy (rad/s),wz (rad/s)
0.001470,0.12,-0.00,-0.00
0.006035,0.09,-0.00,-0.00
0.015938,0.09,-0.00,-0.00
0.028723,0.05,-0.00,-0.00
0.035646,0.05,-0.00,-0.00
0.046007,-0.01,0.00,-0.00
0.056487,-0.01,0.00,-0.00
0.068587,-0.06,0.00,-0.00
0.076436,-0.06,0.00,-0.00
0.086947,-0.09,0.00,-0.00
0.096703,-0.09,0.00,-0.00
0.107049,-0.08,0.03,-0.10
0.117321,-0.08,0.03,-0.10
0.127024,-0.07,0.04,-0.09
0.137009,-0.07,0.04,-0.09
0.148361,-0.07,0.07,-0.04
0.159917,-0.07,0.07,-0.04
0.167742,-0.06,0.09,0.02
0.178497,-0.06,0.09,0.02
0.188193,-0.06,0.06,0.05
0.200117,-0.06,0.06,0.05
0.208978,-0.05,0.02,0.05
0.218053,-0.05,0.02,0.05
0.228830,-0.03,0.00,0.03
0.239131,-0.03,0.00,0.03
0.260898,-0.02,0.02,0.01
0.261677,-0.02,0.02,0.01
0.269642,-0.01,0.04,-0.01
0.280489,-0.01,0.04,-0.01
0.289581,-0.01,0.03,-0.04
0.300720,-0.01,0.03,-0.04
0.310438,-0.02,-0.00,-0.08
0.320239,-0.02,-0.00,-0.08
0.330780,-0.04,-0.01,-0.09
0.340125,-0.04,-0.01,-0.09
0.360743,-0.07,0.03,-0.08
0.361852,-0.07,0.03,-0.08
0.370467,-0.10,0.08,-0.05
0.380797,-0.10,0.08,-0.05
0.391005,-0.01,0.07,-0.00
0.400436,-0.01,0.07,-0.00
0.411462,-0.00,0.04,-0.00
0.420938,-0.00,0.04,-0.00
0.431373,-0.00,0.01,-0.00
0.441543,-0.00,0.01,-0.00
0.461276,0.00,0.00,0.00
0.462531,0.00,0.00,0.00
0.471560,0.00,0.00,0.00
0.483533,0.00,0.00,0.00
0.492307,0.00,-0.01,0.00
0.502763,0.00,-0.01,0.00
0.512673,0.00,-0.03,0.00
0.522182,0.00,-0.03,0.00
0.533109,0.00,-0.06,0.00
0.542913,0.00,-0.06,0.00
0.552586,0.00,-0.10,0.00
0.563108,0.00,-0.10,0.00
0.577200,0.00,-0.11,0.00
0.583486,0.00,-0.11,0.00
0.593880,0.00,-0.11,0.00
0.603482,0.00,-0.11,0.00
0.613799,0.00,-0.10,0.00
0.623739,0.00,-0.10,0.00
0.634181,0.00,-0.08,0.00
0.643785,0.00,-0.08,0.00
0.654676,0.00,-0.07,0.00
0.664292,0.00,-0.07,0.00
0.675069,0.00,-0.06,0.00
0.684134,0.00,-0.06,0.00
0.695356,-0.00,-0.04,0.00
0.704661,-0.00,-0.04,0.00
0.715961,-0.10,-0.01,0.03
0.724881,-0.10,-0.01,0.03
0.734958,-0.16,0.05,0.06
0.745466,-0.16,0.05,0.06
0.760993,-0.22,0.12,0.10
0.766684,-0.22,0.12,0.10
0.775935,-0.18,0.17,0.13
