time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001110,-0.0400,0.0569,0.0532,0.088
0.010986,-0.0386,0.0549,0.0514,0.085
0.031550,-0.0366,0.0520,0.0487,0.080
0.032507,-0.0347,0.0493,0.0463,0.076
0.040921,-0.0329,0.0467,0.0439,0.072
0.051993,-0.0310,0.0439,0.0414,0.068
0.061709,-0.0298,0.0422,0.0400,0.065
0.072015,-0.0285,0.0403,0.0383,0.062
0.082719,-0.0265,0.0374,0.0357,0.058
0.091740,-0.0240,0.0339,0.0324,0.053
0.102516,-0.0213,0.0299,0.0287,0.047
0.112129,-0.0178,0.0250,0.0241,0.039
0.122433,-0.0133,0.0187,0.0180,0.029
0.132861,-0.0116,0.0163,0.0158,0.026
0.142409,-0.0233,0.0327,0.0321,0.051
0.163749,-0.0352,0.0493,0.0490,0.078
0.164521,-0.0462,0.0648,0.0651,0.103
0.172629,-0.0561,0.0786,0.0799,0.125
0.183275,-0.0648,0.0908,0.0930,0.145
0.193736,-0.0718,0.1005,0.1038,0.161
0.204846,-0.0760,0.1063,0.1106,0.171
0.213588,-0.0687,0.0959,0.0999,0.155
0.223785,-0.0608,0.0849,0.0885,0.137
0.234336,-0.0521,0.0728,0.0760,0.117
0.244026,-0.0423,0.0592,0.0618,0.095
0.256576,-0.0325,0.0456,0.0477,0.074
0.264097,-0.0222,0.0312,0.0326,0.050
0.274470,-0.0119,0.0168,0.0176,0.027
0.284637,-0.0023,0.0033,0.0034,0.005
0.294458,0.0062,-0.0088,-0.0092,0.014
0.304406,0.0152,-0.0218,-0.0227,0.035
0.314731,0.0310,-0.0452,-0.0471,0.072
0.324781,0.0466,-0.0691,-0.0721,0.110
0.335455,0.0630,-0.0950,-0.0993,0.151
0.345122,0.0781,-0.1201,-0.1260,0.191
0.365054,0.0969,-0.1531,-0.1617,0.243
0.366339,0.1020,-0.1660,-0.1778,0.264
0.375722,0.1051,-0.1765,-0.1920,0.281
0.386030,0.1056,-0.1834,-0.2028,0.293
0.395636,0.1047,-0.1881,-0.2119,0.302
0.406029,0.1007,-0.1862,-0.2165,0.303
0.416651,0.0951,-0.1815,-0.2179,0.299
0.426131,0.0875,-0.1726,-0.2141,0.289
0.436456,0.0787,-0.1602,-0.2057,0.272
0.446760,0.0591,-0.1243,-0.1663,0.216
0.464325,0.0459,-0.0986,-0.1389,0.176
0.466480,0.0318,-0.0696,-0.1034,0.129
0.476856,0.0169,-0.0377,-0.0592,0.072
0.487851,0.0017,-0.0038,-0.0063,0.008
0.497074,-0.0133,0.0306,0.0538,0.063
0.507831,-0.0250,0.0577,0.1086,0.126
0.517780,-0.0387,0.0881,0.1778,0.202
0.527725,-0.0527,0.1179,0.2557,0.286
0.537386,-0.0648,0.1406,0.3318,0.366
0.548026,-0.0766,0.1605,0.4139,0.450
0.557691,-0.0891,0.1740,0.4979,0.535
0.568110,-0.0961,0.1744,0.5542,0.589
0.582166,-0.1040,0.1746,0.6185,0.651
0.588316,-0.1131,0.1777,0.6931,0.724
0.598943,-0.1211,0.1779,0.7646,0.794
0.608589,-0.1177,0.1630,0.7561,0.782
0.619397,-0.1081,0.1415,0.7041,0.726
0.629567,-0.0980,0.1241,0.6484,0.667
0.639194,-0.0798,0.0984,0.5354,0.550
0.649025,-0.0553,0.0669,0.3764,0.386
0.664774,-0.0301,0.0380,0.2142,0.220
0.669134,-0.0063,0.0084,0.0471,0.048
0.679874,0.0160,-0.0229,-0.1286,0.132
0.689834,0.0364,-0.0561,-0.3141,0.321
0.699887,0.0542,-0.0914,-0.5074,0.518
0.710387,0.0687,-0.1303,-0.7002,0.716
