time,wx (rad/s),wy (rad/s),wz (rad/s)
0.011838,0.05,0.03,-0.01
0.013866,0.03,0.00,-0.03
0.029374,0.03,0.00,-0.03
0.047292,-0.00,-0.03,-0.05
0.047841,-0.00,-0.03,-0.05
0.063762,-0.04,-0.04,-0.06
0.064341,-0.04,-0.04,-0.06
0.078114,-0.04,-0.03,-0.04
0.094211,-0.04,-0.03,-0.04
0.094824,-0.00,-0.03,-0.00
0.111378,-0.00,-0.03,-0.00
0.115533,0.03,-0.06,0.01
0.128286,0.03,-0.06,0.01
0.145564,0.06,-0.10,0.04
0.146141,0.06,-0.10,0.04
0.161691,0.06,-0.13,0.07
0.166040,0.06,-0.13,0.07
0.178172,0.04,-0.16,0.10
0.194834,0.04,-0.16,0.10
0.195553,0.02,-0.19,0.11
0.212608,0.02,-0.19,0.11
0.229095,0.00,-0.25,0.08
0.229725,0.00,-0.25,0.08
0.246229,-0.01,-0.31,0.05
0.247315,-0.01,-0.31,0.05
0.261400,-0.03,-0.34,0.03
0.278986,-0.03,-0.34,0.03
0.279788,-0.05,-0.35,0.05
0.296188,-0.05,-0.35,0.05
0.297852,-0.04,-0.37,0.08
0.313231,-0.04,-0.37,0.08
0.329928,-0.01,-0.40,0.10
0.330800,-0.01,-0.40,0.10
0.345305,0.02,-0.39,0.11
0.347803,0.02,-0.39,0.11
0.362132,0.03,-0.33,0.11
0.379254,0.03,-0.33,0.11
0.380130,-0.00,-0.23,0.12
0.396119,-0.00,-0.23,0.12
0.399027,-0.04,-0.13,0.11
0.412420,-0.04,-0.13,0.11
0.430038,-0.06,-0.05,0.09
0.431088,-0.06,-0.05,0.09
0.445570,-0.05,-0.01,0.06
0.462744,-0.05,-0.01,0.06
0.463524,-0.04,0.02,0.06
0.477935,-0.04,0.02,0.06
0.479467,-0.02,0.02,0.06
0.494728,-0.02,0.02,0.06
0.512414,-0.01,-0.02,0.06
0.513312,-0.01,-0.02,0.06
0.528919,0.01,-0.09,0.07
0.530716,0.01,-0.09,0.07
0.545047,0.02,-0.16,0.10
0.561561,0.02,-0.16,0.10
0.562550,0.01,-0.20,0.17
0.578472,0.01,-0.20,0.17
0.581195,-0.03,-0.20,0.25
0.594500,-0.03,-0.20,0.25
0.614302,-0.09,-0.19,0.32
0.615257,-0.09,-0.19,0.32
0.629055,-0.13,-0.18,0.34
0.631866,-0.13,-0.18,0.34
0.646489,-0.16,-0.17,0.32
0.662785,-0.16,-0.17,0.32
0.663814,-0.14,-0.15,0.25
0.679105,-0.14,-0.15,0.25
0.682522,-0.09,-0.13,0.14
0.696453,-0.09,-0.13,0.14
0.713997,0.04,-0.08,0.01
0.715127,0.04,-0.08,0.01
0.729636,0.29,0.02,-0.12
0.745838,0.29,0.02,-0.12
0.746722,0.69,0.18,-0.24
0.761199,0.69,0.18,-0.24
0.764108,1.09,0.33,-0.32
0.779157,1.09,0.33,-0.32
0.795764,1.30,0.42,-0.32
0.796809,1.30,0.42,-0.32
0.812525,1.19,0.35,-0.22
0.813866,1.19,0.35,-0.22
0.828339,0.76,0.13,-0.04
0.845025,0.76,0.13,-0.04
0.846110,0.07,-0.17,0.13
0.861680,0.07,-0.17,0.13
0.865097,-0.66,-0.40,0.22
0.878580,-0.66,-0.40,0.22
0.894688,-1.08,-0.51,0.23
0.895972,-1.08,-0.51,0.23
0.911509,-1.05,-0.51,0.17
0.915585,-1.05,-0.51,0.17
0.931838,-0.72,-0.51,0.08
0.935997,-0.72,-0.51,0.08
0.946256,-0.32,-0.58,-0.04
0.955631,-0.32,-0.58,-0.04
0.970650,-0.02,-0.66,-0.15
0.976193,-0.02,-0.66,-0.15
0.986413,-0.01,-0.68,-0.20
0.996950,-0.01,-0.68,-0.20
1.006879,-0.32,-0.58,-0.18
1.017005,-0.32,-0.58,-0.18
1.027081,-0.75,-0.43,-0.14
1.037241,-0.75,-0.43,-0.14
1.048195,-1.07,-0.29,-0.10
1.057630,-1.07,-0.29,-0.10
1.070746,-1.23,-0.19,-0.07
1.077715,-1.23,-0.19,-0.07
1.087471,-1.25,-0.10,-0.05
1.098436,-1.25,-0.10,-0.05
1.108223,-1.15,-0.04,-0.02
1.118185,-1.15,-0.04,-0.02
1.128826,-0.99,-0.00,0.01
1.138224,-0.99,-0.00,0.01
1.149335,-0.83,0.01,0.02
1.158329,-0.83,0.01,0.02
1.171740,-0.71,-0.02,0.03
1.178430,-0.71,-0.02,0.03
1.188853,-0.63,-0.07,0.06
1.200454,-0.63,-0.07,0.06
1.209269,-0.62,-0.13,0.10
1.219175,-0.62,-0.13,0.10
1.229479,-0.64,-0.20,0.15
1.239414,-0.64,-0.20,0.15
1.249981,-0.51,-0.30,0.19
1.260855,-0.51,-0.30,0.19
1.270222,-0.22,-0.42,0.20
1.280878,-0.22,-0.42,0.20
1.290561,0.08,-0.54,0.22
1.300413,0.08,-0.54,0.22
1.310651,0.23,-0.61,0.25
1.320442,0.23,-0.61,0.25
1.330766,0.27,-0.65,0.31
1.341153,0.27,-0.65,0.31
1.351279,0.36,-0.70,0.34
1.361322,0.36,-0.70,0.34
1.370944,0.61,-0.80,0.34
1.381564,0.61,-0.80,0.34
1.391931,0.91,-0.88,0.32
1.402169,0.91,-0.88,0.32
1.413720,1.10,-0.89,0.28
1.421921,1.10,-0.89,0.28
1.433207,1.05,-0.82,0.21
1.442060,1.05,-0.82,0.21
1.452260,0.85,-0.71,0.08
1.463002,0.85,-0.71,0.08
1.473892,0.69,-0.49,-0.12
1.487600,0.69,-0.49,-0.12
1.493249,0.67,-0.07,-0.41
1.503095,0.67,-0.07,-0.41
1.513592,0.73,0.53,-0.76
1.523644,0.73,0.53,-0.76
1.534188,0.83,1.16,-1.12
1.543815,0.83,1.16,-1.12
1.553729,0.97,1.56,-1.32
1.563821,0.97,1.56,-1.32
1.574271,1.04,1.59,-1.25
1.587119,1.04,1.59,-1.25
1.594616,0.81,1.34,-0.98
1.604408,0.81,1.34,-0.98
1.615204,0.32,1.05,-0.69
1.624908,0.32,1.05,-0.69
1.634932,-0.09,0.86,-0.51
1.645411,-0.09,0.86,-0.51
1.654835,-0.23,0.70,-0.43
1.664918,-0.23,0.70,-0.43
1.676004,-0.12,0.51,-0.40
1.686943,-0.12,0.51,-0.40
1.695908,0.12,0.28,-0.40
1.705724,0.12,0.28,-0.40
1.717030,0.37,0.07,-0.42
1.726152,0.37,0.07,-0.42
1.736693,0.53,-0.09,-0.42
1.746520,0.53,-0.09,-0.42
1.756646,0.54,-0.22,-0.36
1.769735,0.54,-0.22,-0.36
1.777211,0.42,-0.33,-0.23
1.786737,0.42,-0.33,-0.23
1.797400,0.26,-0.41,-0.05
1.807218,0.26,-0.41,-0.05
1.818418,0.06,-0.43,0.17
1.827571,0.06,-0.43,0.17
1.837680,-0.19,-0.42,0.39
1.847684,-0.19,-0.42,0.39
1.857506,-0.55,-0.40,0.56
1.870131,-0.55,-0.40,0.56
1.877695,-1.07,-0.37,0.65
1.887833,-1.07,-0.37,0.65
1.898427,-1.72,-0.38,0.64
1.908504,-1.72,-0.38,0.64
1.918303,-2.55,-0.48,0.50
1.928187,-2.55,-0.48,0.50
1.939214,-3.62,-0.72,0.16
1.950482,-3.62,-0.72,0.16
1.959610,-5.14,-1.20,-0.51
1.969758,-5.14,-1.20,-0.51
1.979093,-7.61,-2.05,-2.16
1.989489,-7.61,-2.05,-2.16
2.000028,-11.50,-3.10,-7.94
2.010025,-11.50,-3.10,-7.94
2.019640,-14.73,0.53,-22.29
2.029962,-14.73,0.53,-22.29
2.040170,-11.34,3.16,-29.49
2.051074,-11.34,3.16,-29.49
2.060225,-8.65,0.79,-18.25
2.070147,-8.65,0.79,-18.25
2.081171,-10.90,0.56,-9.09
2.090175,-10.90,0.56,-9.09
