time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.004227,-0.0639,0.4054,0.3350,0.530
0.012327,-0.0642,0.4116,0.3401,0.538
0.030513,-0.0639,0.4146,0.3427,0.542
0.032597,-0.0632,0.4149,0.3430,0.542
0.042933,-0.0623,0.4138,0.3423,0.541
0.055317,-0.0614,0.4126,0.3414,0.539
0.062972,-0.0605,0.4112,0.3404,0.537
0.073234,-0.0599,0.4105,0.3399,0.536
0.083434,-0.0596,0.4118,0.3412,0.538
0.093288,-0.0594,0.4139,0.3433,0.541
0.103850,-0.0593,0.4169,0.3461,0.545
0.114274,-0.0590,0.4196,0.3486,0.549
0.123866,-0.0588,0.4227,0.3517,0.553
0.134243,-0.0588,0.4265,0.3555,0.558
0.144598,-0.0587,0.4297,0.3589,0.563
0.162966,-0.0587,0.4329,0.3620,0.567
0.164481,-0.0584,0.4345,0.3638,0.570
0.174534,-0.0579,0.4342,0.3637,0.569
0.186312,-0.0570,0.4317,0.3613,0.566
0.194891,-0.0559,0.4276,0.3575,0.560
0.204583,-0.0548,0.4233,0.3533,0.554
0.215004,-0.0538,0.4210,0.3506,0.550
0.224986,-0.0533,0.4203,0.3493,0.549
0.236135,-0.0529,0.4208,0.3489,0.549
0.245539,-0.0525,0.4214,0.3486,0.549
0.255596,-0.0519,0.4194,0.3462,0.546
0.265642,-0.0509,0.4155,0.3422,0.541
0.280469,-0.0497,0.4091,0.3361,0.532
0.286791,-0.0481,0.4007,0.3281,0.520
0.296152,-0.0465,0.3919,0.3197,0.508
0.306186,-0.0451,0.3832,0.3111,0.496
0.316600,-0.0437,0.3741,0.3023,0.483
0.326781,-0.0427,0.3665,0.2947,0.472
0.339634,-0.0418,0.3596,0.2879,0.463
0.346960,-0.0411,0.3527,0.2812,0.453
0.356894,-0.0403,0.3460,0.2747,0.444
0.367345,-0.0395,0.3391,0.2683,0.434
0.379972,-0.0385,0.3308,0.2608,0.423
0.387339,-0.0371,0.3198,0.2514,0.409
0.397845,-0.0353,0.3061,0.2399,0.390
0.407783,-0.0332,0.2907,0.2271,0.370
0.419372,-0.0307,0.2715,0.2115,0.346
0.427622,-0.0277,0.2497,0.1938,0.317
0.437845,-0.0243,0.2245,0.1737,0.285
0.448415,-0.0208,0.1973,0.1521,0.250
0.458233,-0.0173,0.1690,0.1299,0.214
0.480072,-0.0136,0.1379,0.1056,0.174
0.481294,-0.0091,0.1009,0.0771,0.127
0.488533,-0.0050,0.0615,0.0469,0.078
