time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001240,-0.0265,0.3431,0.2735,0.440
0.011783,-0.0259,0.3382,0.2691,0.433
0.014349,-0.0253,0.3334,0.2648,0.426
0.029078,-0.0248,0.3286,0.2606,0.420
0.044393,-0.0243,0.3245,0.2571,0.415
0.044898,-0.0239,0.3210,0.2540,0.410
0.062354,-0.0237,0.3197,0.2526,0.408
0.064825,-0.0237,0.3200,0.2525,0.408
0.078159,-0.0238,0.3226,0.2541,0.411
0.094733,-0.0237,0.3231,0.2541,0.412
0.095388,-0.0237,0.3234,0.2538,0.412
0.111869,-0.0237,0.3238,0.2537,0.412
0.115900,-0.0237,0.3244,0.2538,0.413
0.128159,-0.0239,0.3248,0.2538,0.413
0.144553,-0.0242,0.3262,0.2547,0.415
0.145705,-0.0247,0.3290,0.2571,0.418
0.163953,-0.0252,0.3326,0.2601,0.423
0.166686,-0.0259,0.3368,0.2635,0.428
0.181625,-0.0264,0.3401,0.2662,0.433
0.195720,-0.0269,0.3439,0.2692,0.438
0.196687,-0.0276,0.3488,0.2730,0.444
0.213298,-0.0281,0.3529,0.2762,0.449
0.217373,-0.0285,0.3570,0.2794,0.454
0.229095,-0.0290,0.3614,0.2828,0.460
0.245787,-0.0295,0.3668,0.2868,0.467
0.247715,-0.0300,0.3721,0.2907,0.473
0.262347,-0.0303,0.3746,0.2925,0.476
0.280307,-0.0304,0.3754,0.2932,0.477
0.281107,-0.0303,0.3739,0.2921,0.475
0.297450,-0.0303,0.3730,0.2916,0.474
0.298646,-0.0302,0.3716,0.2909,0.473
0.314823,-0.0302,0.3701,0.2903,0.471
0.329868,-0.0302,0.3702,0.2909,0.472
0.330929,-0.0303,0.3717,0.2925,0.474
0.347250,-0.0304,0.3733,0.2942,0.476
0.348268,-0.0306,0.3761,0.2969,0.480
0.363228,-0.0309,0.3795,0.3001,0.485
0.379325,-0.0310,0.3816,0.3022,0.488
0.380319,-0.0311,0.3820,0.3029,0.488
0.396368,-0.0310,0.3811,0.3024,0.488
0.399608,-0.0307,0.3780,0.3002,0.484
0.414471,-0.0303,0.3738,0.2970,0.478
0.429636,-0.0300,0.3697,0.2939,0.473
0.431200,-0.0294,0.3635,0.2891,0.465
0.447733,-0.0288,0.3565,0.2838,0.457
0.449895,-0.0283,0.3505,0.2792,0.449
0.463588,-0.0279,0.3461,0.2759,0.444
0.479573,-0.0275,0.3421,0.2726,0.438
0.480690,-0.0273,0.3406,0.2712,0.436
0.497875,-0.0270,0.3375,0.2685,0.432
0.514776,-0.0267,0.3341,0.2654,0.428
0.516129,-0.0264,0.3302,0.2621,0.422
0.531180,-0.0260,0.3262,0.2587,0.417
0.532520,-0.0255,0.3222,0.2554,0.412
0.547196,-0.0252,0.3210,0.2544,0.410
0.563827,-0.0249,0.3208,0.2542,0.410
0.565011,-0.0247,0.3212,0.2546,0.411
0.580679,-0.0246,0.3231,0.2564,0.413
0.582326,-0.0246,0.3272,0.2600,0.419
0.597358,-0.0244,0.3301,0.2627,0.423
0.615582,-0.0242,0.3325,0.2650,0.426
0.616645,-0.0239,0.3344,0.2670,0.429
0.630272,-0.0233,0.3350,0.2682,0.430
0.632618,-0.0227,0.3353,0.2691,0.431
0.647533,-0.0220,0.3335,0.2684,0.429
0.663401,-0.0209,0.3286,0.2652,0.423
0.664463,-0.0194,0.3203,0.2592,0.413
0.681308,-0.0177,0.3085,0.2503,0.398
0.683069,-0.0159,0.2946,0.2397,0.380
0.696754,-0.0140,0.2803,0.2287,0.362
0.714867,-0.0123,0.2653,0.2170,0.343
0.715951,-0.0106,0.2501,0.2052,0.324
0.730681,-0.0091,0.2350,0.1934,0.304
0.747069,-0.0078,0.2207,0.1822,0.286
0.748098,-0.0066,0.2048,0.1695,0.266
0.763520,-0.0055,0.1884,0.1565,0.245
0.764565,-0.0045,0.1727,0.1439,0.225
0.782317,-0.0036,0.1569,0.1312,0.205
0.784047,-0.0028,0.1406,0.1180,0.184
0.794921,-0.0022,0.1269,0.1069,0.166
0.812786,-0.0017,0.1129,0.0956,0.148
0.814554,-0.0012,0.0999,0.0849,0.131
0.824769,-0.0009,0.0868,0.0741,0.114
0.836597,-0.0007,0.0742,0.0637,0.098
0.845210,-0.0005,0.0628,0.0542,0.083
0.855811,-0.0003,0.0507,0.0440,0.067
0.865911,-0.0002,0.0391,0.0341,0.052
0.875764,-0.0002,0.0297,0.0261,0.040
0.889169,-0.0001,0.0182,0.0160,0.024
0.895806,-0.0000,0.0049,0.0044,0.007
0.906417,0.0001,-0.0105,-0.0094,0.014
0.916686,0.0002,-0.0299,-0.0270,0.040
0.926386,0.0004,-0.0545,-0.0494,0.074
0.936582,0.0006,-0.0831,-0.0758,0.112
0.946577,0.0010,-0.1357,-0.1252,0.185
0.956474,0.0015,-0.1912,-0.1784,0.262
0.967836,0.0020,-0.2499,-0.2357,0.344
0.977211,0.0026,-0.3122,-0.2977,0.431
0.989702,0.0035,-0.3782,-0.3646,0.525
0.997262,0.0048,-0.4649,-0.4557,0.651
1.007686,0.0069,-0.5511,-0.5491,0.778
1.018855,0.0144,-0.6371,-0.6448,0.907
1.027705,0.0250,-0.7216,-0.7406,1.034
1.037738,0.0454,-0.8232,-0.8509,1.185
1.048786,0.0706,-0.9256,-0.9632,1.338
1.058554,0.0999,-1.0281,-1.0773,1.493
1.072924,0.1264,-1.1357,-1.1982,1.656
1.078594,0.1591,-1.2714,-1.3412,1.855
1.088421,0.1985,-1.4188,-1.5059,2.079
1.099062,0.2419,-1.5609,-1.6666,2.296
1.108287,0.2910,-1.6976,-1.8214,2.507
1.119439,0.3467,-1.8260,-1.9649,2.705
1.128716,0.4258,-1.9234,-2.0435,2.838
1.139391,0.5304,-2.0026,-2.0945,2.946
1.149386,0.6314,-2.0314,-2.0379,2.946
1.159651,0.7017,-1.9987,-1.9187,2.858
1.172709,0.7246,-1.8948,-1.7399,2.673
1.179814,0.6751,-1.7151,-1.5050,2.380
1.189649,0.5599,-1.4166,-1.1974,1.938
1.200206,0.3751,-0.9693,-0.7958,1.309
1.209949,0.1472,-0.3924,-0.3199,0.527
1.220427,-0.0995,0.2792,0.2311,0.376
1.230240,-0.3444,1.0173,0.8728,1.384
1.240214,-0.5621,1.8023,1.6298,2.494
1.251920,-0.7527,2.6120,2.4917,3.687
1.260839,-0.8996,3.4113,3.4029,4.902
