time,wx (rad/s),wy (rad/s),wz (rad/s)
0.001428,0.10,-0.03,0.04
0.004760,0.12,-0.04,0.01
0.013215,0.12,-0.04,0.01
0.027518,0.10,-0.04,-0.01
0.033763,0.10,-0.04,-0.01
0.044408,0.06,-0.03,-0.01
0.061037,0.06,-0.03,-0.01
0.064275,0.02,-0.01,-0.00
0.074085,0.02,-0.01,-0.00
0.085194,0.02,-0.01,0.01
0.094384,0.02,-0.01,0.01
0.104697,0.04,-0.03,0.04
0.114921,0.04,-0.03,0.04
0.124823,0.09,-0.06,0.05
0.135130,0.09,-0.06,0.05
0.145161,0.12,-0.11,0.05
0.154895,0.12,-0.11,0.05
0.165597,0.13,-0.16,0.05
0.178950,0.13,-0.16,0.05
0.185423,0.09,-0.21,0.06
0.195794,0.09,-0.21,0.06
0.205941,0.03,-0.24,0.06
0.216285,0.03,-0.24,0.06
0.226937,-0.04,-0.24,0.06
0.235964,-0.04,-0.24,0.06
0.246895,-0.09,-0.19,0.06
0.261785,-0.09,-0.19,0.06
0.268261,-0.14,-0.15,0.07
0.277769,-0.14,-0.15,0.07
0.287517,-0.17,-0.16,0.05
0.297297,-0.17,-0.16,0.05
0.307227,-0.18,-0.19,0.02
0.318360,-0.18,-0.19,0.02
0.328176,-0.17,-0.19,0.01
0.337511,-0.17,-0.19,0.01
0.348593,-0.16,-0.14,0.02
0.362296,-0.16,-0.14,0.02
0.368804,-0.14,-0.08,0.04
0.378387,-0.14,-0.08,0.04
0.388213,-0.13,-0.05,0.07
0.398770,-0.13,-0.05,0.07
0.408699,-0.14,-0.04,0.10
0.418345,-0.14,-0.04,0.10
0.428704,-0.15,-0.03,0.14
0.438740,-0.15,-0.03,0.14
0.449583,-0.16,-0.04,0.18
0.462212,-0.16,-0.04,0.18
0.469337,-0.15,-0.07,0.23
0.480533,-0.15,-0.07,0.23
0.489297,-0.13,-0.14,0.27
0.500866,-0.13,-0.14,0.27
0.510021,-0.08,-0.23,0.30
0.520147,-0.08,-0.23,0.30
0.530644,0.01,-0.28,0.32
0.540311,0.01,-0.28,0.32
0.561444,0.11,-0.28,0.33
0.562621,0.11,-0.28,0.33
0.571392,0.18,-0.23,0.31
0.581845,0.18,-0.23,0.31
0.592044,0.22,-0.18,0.26
0.600985,0.22,-0.18,0.26
0.611544,0.23,-0.11,0.22
0.621241,0.23,-0.11,0.22
0.631894,0.21,-0.00,0.21
0.641863,0.21,-0.00,0.21
0.661674,0.17,0.12,0.23
0.662816,0.17,0.12,0.23
0.672283,0.14,0.18,0.26
0.682583,0.14,0.18,0.26
0.692514,0.12,0.16,0.29
0.702093,0.12,0.16,0.29
0.713090,0.12,0.06,0.30
0.723257,0.12,0.06,0.30
0.734388,0.12,-0.06,0.33
0.743811,0.12,-0.06,0.33
0.753317,0.10,-0.16,0.39
0.763263,0.10,-0.16,0.39
0.779398,0.08,-0.25,0.43
0.784384,0.08,-0.25,0.43
0.793523,0.07,-0.35,0.43
0.804396,0.07,-0.35,0.43
0.814215,0.09,-0.42,0.37
0.824064,0.09,-0.42,0.37
0.834709,0.15,-0.35,0.14
0.844866,0.15,-0.35,0.14
0.854454,0.29,0.02,-0.40
0.865093,0.29,0.02,-0.40
0.875233,0.49,0.62,-1.15
0.885042,0.49,0.62,-1.15
0.895683,0.61,1.11,-1.69
0.905320,0.61,1.11,-1.69
0.915979,0.56,1.20,-1.68
0.925901,0.56,1.20,-1.68
0.936083,0.34,0.88,-1.17
0.946931,0.34,0.88,-1.17
0.956223,-0.00,0.44,-0.50
0.966157,-0.00,0.44,-0.50
0.976540,-0.37,0.08,0.05
0.986083,-0.37,0.08,0.05
0.996653,-0.63,-0.11,0.37
1.006289,-0.63,-0.11,0.37
1.018172,-0.71,-0.20,0.51
1.027094,-0.71,-0.20,0.51
1.036662,-0.68,-0.27,0.56
1.047257,-0.68,-0.27,0.56
1.057021,-0.60,-0.33,0.56
1.068161,-0.60,-0.33,0.56
1.077428,-0.49,-0.36,0.52
1.087277,-0.49,-0.36,0.52
1.098377,-0.37,-0.34,0.44
1.107797,-0.37,-0.34,0.44
1.117926,-0.17,-0.27,0.33
1.128389,-0.17,-0.27,0.33
1.137804,0.13,-0.16,0.19
1.148717,0.13,-0.16,0.19
1.158430,0.45,-0.03,0.04
