linear_ax_m/s^2,linear_ay_m/s^2,linear_az_m/s^2,linear_at_m/s^2,linear_time,wx_rad/s,wy_rad/s,wz_rad/s,activity
-0.0858,0.7672,0.1891,0.795,0.6075588364116096,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.6095591134564645,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.6115593905013194,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.6135596675461743,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.6155599445910291,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.617560221635884,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.6195604986807389,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.6215607757255938,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.6235610527704487,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.6255613298153035,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.6275616068601584,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.6295618839050133,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.6315621609498682,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.6335624379947231,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.635562715039578,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.6375629920844328,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.6395632691292877,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.6415635461741426,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.6435638232189975,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.6455641002638524,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.6475643773087072,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.6495646543535621,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.651564931398417,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.6535652084432719,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.6555654854881268,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.6575657625329816,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.6595660395778365,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.6615663166226914,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.6635665936675463,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.6655668707124012,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.667567147757256,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.669567424802111,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.6715677018469658,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.6735679788918207,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.6755682559366756,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.6775685329815304,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.6795688100263854,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.6815690870712402,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.6835693641160951,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.68556964116095,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.6875699182058048,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.6895701952506598,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.6915704722955146,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.6935707493403696,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.6955710263852244,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.6975713034300792,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.6995715804749342,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.701571857519789,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.703572134564644,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.7055724116094988,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.7075726886543536,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.7095729656992086,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.7115732427440634,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.7135735197889184,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.7155737968337732,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.717574073878628,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.719574350923483,0.0,0.0,0.0,walking
-0.0858,0.7672,0.1891,0.795,0.7215746279683378,0.0,0.0,0.0,walking
