linear_ax_m/s^2,linear_ay_m/s^2,linear_az_m/s^2,linear_at_m/s^2,linear_time,wx_rad/s,wy_rad/s,wz_rad/s,activity
0.0228,-0.0189,-0.2536,0.255,0.00113,-0.0,0.0,-0.0,still
0.0228,-0.0189,-0.2536,0.255,0.0031305496794871795,0.0,0.0,0.0,still
0.022942251658597812,-0.01878361227932906,-0.2536387959068903,0.25512931968963437,0.005131099358974359,0.0,0.0,0.0,still
0.023222048816568048,-0.01855468733189887,-0.2537151042227004,0.2553836807423346,0.007131649038461539,0.0,0.0,0.0,still
0.023501845974538284,-0.018325762384468678,-0.25379141253851045,0.2556380417950348,0.009132198717948719,0.0,0.0,0.0,still
0.02378164313250852,-0.018096837437038486,-0.2538677208543205,0.255892402847735,0.011132748397435898,0.0,0.0,0.0,still
0.023959371364927637,-0.017726891721332877,-0.2540781140947829,0.2561187427298553,0.013133298076923077,0.0,0.0,0.0,still
0.02406226971280785,-0.01725355932108388,-0.2543868091384236,0.2563245394256157,0.015133847756410256,0.0,0.0,0.0,still
0.02416516806068807,-0.016780226920834883,-0.2546955041820642,0.25653033612137616,0.017134397435897435,0.0,0.0,0.0,still
0.024268066408568288,-0.016306894520585882,-0.2550041992257049,0.2567361328171366,0.019134947115384614,0.0,0.0,0.0,still
0.024370964756448503,-0.015833562120336885,-0.2553128942693455,0.256941929512897,0.021135496794871794,0.0,0.0,0.0,still
0.02425926631964338,-0.015376312535179768,-0.25549851357624964,0.2571407336803566,0.023136046474358973,0.0,0.0,0.0,still
0.02406321088261014,-0.014925385030003317,-0.2556357523821729,0.2573367891173899,0.025136596153846155,0.0,0.0,0.0,still
0.0238671554455769,-0.014474457524826866,-0.25577299118809615,0.2575328445544231,0.027137145833333334,0.0,0.0,0.0,still
0.02367110000854366,-0.014023530019650414,-0.25591022999401947,0.2577288999914564,0.029137695512820513,0.0,0.0,0.0,still
0.02347504457151042,-0.013572602514473963,-0.2560474687999427,0.2579249554284896,0.031138245192307692,0.0,0.0,0.0,still
0.023138607620328745,-0.013115877848183417,-0.25617955420250865,0.258,0.03313879487179487,0.0,0.0,0.0,still
0.02271511344059377,-0.012655558087601921,-0.25630844373547146,0.258,0.03513934455128205,0.0,0.0,0.0,still
0.02229161926085879,-0.012195238327020427,-0.25643733326843426,0.258,0.03713989423076923,0.0,0.0,0.0,still
0.021868125081123818,-0.011734918566438931,-0.25656622280139707,0.258,0.03914044391025641,0.0,0.0,0.0,still
0.02144463090138884,-0.011274598805857435,-0.2566951123343599,0.258,0.04114099358974359,0.0,0.0,0.0,still
0.021044632635146172,-0.010816948952719256,-0.2567723163175731,0.25796045188224725,0.04314154326923077,0.0,0.0,0.0,still
0.020747311026729817,-0.010370966540094726,-0.2566236555133649,0.25774807930480703,0.045142092948717946,0.0,0.0,0.0,still
0.020449989418313462,-0.009924984127470195,-0.2564749947091567,0.25753570672736675,0.047142642628205125,0.0,0.0,0.0,still
0.020152667809897107,-0.009479001714845663,-0.2563263339049485,0.25732333414992653,0.04914319230769231,0.0,0.0,0.0,still
0.019855346201480755,-0.009033019302221133,-0.25617767310074036,0.25711096157248625,0.05114374198717949,0.0,0.0,0.0,still
0.01957450423821588,-0.008540044493447186,-0.25594761228926216,0.2568207203403084,0.05314429166666667,0.0,0.0,0.0,still
0.01931169392093315,-0.00799565169336153,-0.25562848547541883,0.2564452770299045,0.05514484134615385,0.0,0.0,0.0,still
0.019048883603650424,-0.007451258893275877,-0.2553093586615755,0.2560698337195006,0.05714539102564103,0.0,0.0,0.0,still
0.018786073286367694,-0.006906866093190222,-0.25499023184773223,0.2556943904090967,0.05914594070512821,0.0,0.0,0.0,still
0.018523262969084964,-0.006362473293104568,-0.2546711050338889,0.2553189470986928,0.061146490384615386,0.0,0.0,0.0,still
0.01827886802598558,-0.005842641784818001,-0.25436377375883246,0.2549698114656937,0.06314704006410257,0.0,0.0,0.0,still
0.018138436339699877,-0.005461470064899666,-0.2541230337251998,0.25476919477099985,0.06514758974358975,0.0,0.0,0.0,still
0.017998004653414175,-0.00508029834498133,-0.2538822936915672,0.25456857807630595,0.06714813942307693,0.0,0.0,0.0,still
0.017857572967128473,-0.004699126625062995,-0.2536415536579345,0.2543679613816121,0.06914868910256411,0.0,0.0,0.0,still
0.01771714128084277,-0.0043179549051446595,-0.2534008136243019,0.25416734468691826,0.07114923878205129,0.0,0.0,0.0,still
0.017547973793402918,-0.0038820739317132753,-0.25314450537962974,0.2539306317245372,0.07314978846153847,0.0,0.0,0.0,still
0.017234276896138566,-0.003171027631247416,-0.2528098953558811,0.25351236919485143,0.07515033814102565,0.0,0.0,0.0,still
0.016920579998874218,-0.0024599813307815575,-0.2524752853321325,0.25309410666516563,0.07715088782051283,0.0,0.0,0.0,still
0.016606883101609866,-0.0017489350303156984,-0.25214067530838385,0.25267584413547983,0.0791514375,0.0,0.0,0.0,still
0.016293186204345517,-0.0010378887298498397,-0.2518060652846352,0.25225758160579403,0.08115198717948718,0.0,0.0,0.0,still
0.015949853251107437,-0.0002568074311027119,-0.2513783547992538,0.2517855046444392,0.08315253685897436,0.0,0.0,0.0,still
0.015559011840099614,0.0006365443654865953,-0.2508013984306232,0.2512271597715709,0.08515308653846154,0.0,0.0,0.0,still
0.015168170429091793,0.0015298961620759028,-0.2502244420619926,0.2506688148987026,0.08715363621794872,0.0,0.0,0.0,still
0.01477732901808397,0.00242324795866521,-0.24964748569336204,0.25011047002583425,0.0891541858974359,0.0,0.0,0.0,still
