time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.004114,0.0228,-0.0189,-0.2536,0.255
0.011979,0.0239,-0.0180,-0.2539,0.256
0.021700,0.0244,-0.0157,-0.2554,0.257
0.031904,0.0234,-0.0134,-0.2561,0.258
0.042769,0.0211,-0.0109,-0.2568,0.258
0.052189,0.0197,-0.0088,-0.2561,0.257
0.062846,0.0183,-0.0059,-0.2544,0.255
0.072818,0.0176,-0.0040,-0.2532,0.254
0.082384,0.0161,-0.0006,-0.2516,0.252
0.093133,0.0140,0.0042,-0.2485,0.249
0.107197,0.0113,0.0083,-0.2469,0.247
0.115020,0.0077,0.0129,-0.2441,0.245
0.123661,0.0035,0.0154,-0.2417,0.242
0.133848,0.0012,0.0168,-0.2384,0.239
0.143759,-0.0003,0.0183,-0.2349,0.236
0.153815,-0.0013,0.0191,-0.2334,0.234
0.165145,-0.0036,0.0200,-0.2338,0.235
0.174246,-0.0046,0.0205,-0.2347,0.236
0.185229,-0.0057,0.0208,-0.2351,0.236
0.194790,-0.0069,0.0213,-0.2361,0.237
0.211315,-0.0081,0.0214,-0.2379,0.239
0.214894,-0.0098,0.0227,-0.2383,0.240
0.225000,-0.0116,0.0224,-0.2376,0.239
0.235294,-0.0130,0.0205,-0.2372,0.238
0.245093,-0.0128,0.0188,-0.2379,0.239
0.254982,-0.0132,0.0159,-0.2392,0.240
0.265099,-0.0134,0.0119,-0.2409,0.242
0.275614,-0.0141,0.0088,-0.2424,0.243
0.291777,-0.0145,0.0049,-0.2442,0.245
0.296302,-0.0138,0.0008,-0.2471,0.247
0.305817,-0.0126,-0.0018,-0.2487,0.249
0.315581,-0.0113,-0.0053,-0.2512,0.252
0.326239,-0.0102,-0.0069,-0.2528,0.253
0.336367,-0.0093,-0.0072,-0.2548,0.255
0.347776,-0.0083,-0.0081,-0.2578,0.258
0.356829,-0.0074,-0.0082,-0.2591,0.259
0.367114,-0.0063,-0.0081,-0.2586,0.259
0.376786,-0.0052,-0.0073,-0.2580,0.258
0.394226,-0.0039,-0.0074,-0.2575,0.258
0.397743,-0.0033,-0.0075,-0.2562,0.256
0.407778,-0.0027,-0.0069,-0.2541,0.254
0.416997,-0.0012,-0.0069,-0.2525,0.253
0.427768,0.0012,-0.0069,-0.2522,0.252
0.438162,0.0039,-0.0060,-0.2511,0.251
0.447936,0.0058,-0.0060,-0.2493,0.249
0.458343,0.0072,-0.0059,-0.2469,0.247
0.467899,0.0075,-0.0058,-0.2449,0.245
0.478550,0.0082,-0.0049,-0.2433,0.243
0.488886,0.0085,-0.0035,-0.2428,0.243
0.497876,0.0071,-0.0033,-0.2420,0.242
0.508987,0.0051,-0.0032,-0.2405,0.241
0.518421,0.0050,-0.0029,-0.2386,0.239
0.528761,0.0059,-0.0029,-0.2374,0.237
0.539042,0.0064,-0.0045,-0.2365,0.237
0.548879,0.0056,-0.0053,-0.2339,0.234
0.559283,0.0052,-0.0061,-0.2329,0.233
0.569475,0.0055,-0.0059,-0.2329,0.233
0.591151,0.0053,-0.0052,-0.2335,0.234
0.592442,0.0046,-0.0048,-0.2348,0.235
0.599768,0.0040,-0.0043,-0.2365,0.237
0.609276,0.0044,-0.0039,-0.2381,0.238
0.619908,0.0048,-0.0039,-0.2402,0.240
0.630685,0.0049,-0.0038,-0.2418,0.242
0.640338,0.0045,-0.0044,-0.2433,0.243
0.650040,0.0039,-0.0058,-0.2444,0.244
0.660964,0.0032,-0.0069,-0.2460,0.246
0.670238,0.0020,-0.0076,-0.2476,0.248
0.690841,-0.0000,-0.0092,-0.2486,0.249
0.692000,-0.0017,-0.0112,-0.2487,0.249
0.700448,-0.0032,-0.0121,-0.2495,0.250
0.710989,-0.0037,-0.0122,-0.2504,0.251
0.721089,-0.0048,-0.0110,-0.2517,0.252
0.731443,-0.0067,-0.0099,-0.2518,0.252
0.741780,-0.0091,-0.0083,-0.2520,0.252
0.751775,-0.0103,-0.0074,-0.2538,0.254
0.762149,-0.0120,-0.0069,-0.2551,0.255
0.772272,-0.0138,-0.0069,-0.2555,0.256
0.791403,-0.0156,-0.0078,-0.2558,0.256
0.792662,-0.0169,-0.0077,-0.2556,0.256
0.802300,-0.0166,-0.0073,-0.2558,0.256
0.812793,-0.0172,-0.0075,-0.2568,0.257
0.823650,-0.0176,-0.0069,-0.2585,0.259
0.832274,-0.0191,-0.0049,-0.2589,0.260
0.843275,-0.0207,-0.0029,-0.2594,0.260
0.853673,-0.0222,-0.0004,-0.2607,0.262
0.864281,-0.0224,0.0033,-0.2614,0.262
0.873134,-0.0218,0.0069,-0.2624,0.263
0.883586,-0.0198,0.0104,-0.2643,0.265
0.893915,-0.0176,0.0128,-0.2668,0.268
0.903273,-0.0157,0.0156,-0.2684,0.269
0.914280,-0.0136,0.0173,-0.2713,0.272
0.924257,-0.0121,0.0185,-0.2725,0.273
