time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001694,0.0098,-0.0347,-0.2107,0.214
0.009231,0.0086,-0.0368,-0.2138,0.217
0.028613,0.0092,-0.0392,-0.2157,0.219
0.029461,0.0105,-0.0397,-0.2185,0.222
0.039603,0.0115,-0.0399,-0.2206,0.224
0.052154,0.0135,-0.0411,-0.2236,0.228
0.059650,0.0152,-0.0427,-0.2261,0.231
0.069742,0.0157,-0.0439,-0.2281,0.233
0.079707,0.0170,-0.0433,-0.2291,0.234
0.089926,0.0178,-0.0423,-0.2303,0.235
0.100832,0.0189,-0.0412,-0.2314,0.236
0.110973,0.0199,-0.0397,-0.2322,0.236
0.120092,0.0206,-0.0388,-0.2333,0.237
0.131130,0.0201,-0.0375,-0.2339,0.238
0.143615,0.0183,-0.0358,-0.2355,0.239
0.150435,0.0175,-0.0349,-0.2385,0.242
0.160958,0.0173,-0.0346,-0.2420,0.245
0.170976,0.0175,-0.0339,-0.2445,0.247
0.181344,0.0169,-0.0328,-0.2467,0.249
0.191245,0.0169,-0.0318,-0.2500,0.253
0.201351,0.0174,-0.0307,-0.2530,0.255
0.211828,0.0187,-0.0297,-0.2564,0.259
0.221374,0.0182,-0.0280,-0.2593,0.261
0.232074,0.0171,-0.0267,-0.2616,0.263
0.243998,0.0155,-0.0244,-0.2634,0.265
0.251828,0.0138,-0.0219,-0.2649,0.266
0.262571,0.0122,-0.0187,-0.2667,0.268
0.272464,0.0113,-0.0160,-0.2697,0.270
0.283675,0.0098,-0.0149,-0.2737,0.274
0.292845,0.0100,-0.0147,-0.2779,0.279
0.303365,0.0108,-0.0144,-0.2810,0.282
0.313031,0.0123,-0.0138,-0.2839,0.284
0.323157,0.0142,-0.0132,-0.2862,0.287
0.344406,0.0163,-0.0125,-0.2888,0.289
0.345816,0.0187,-0.0113,-0.2894,0.290
0.353219,0.0203,-0.0104,-0.2895,0.290
0.363921,0.0206,-0.0093,-0.2888,0.290
0.373425,0.0213,-0.0091,-0.2882,0.289
0.383435,0.0229,-0.0088,-0.2870,0.288
