time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002080,0.0386,-0.0215,-0.2583,0.262
0.012086,0.0374,-0.0199,-0.2577,0.261
0.022400,0.0349,-0.0178,-0.2577,0.261
0.031810,0.0327,-0.0163,-0.2560,0.259
0.042154,0.0311,-0.0155,-0.2538,0.256
0.051667,0.0288,-0.0146,-0.2508,0.253
0.062345,0.0270,-0.0137,-0.2481,0.250
0.072198,0.0257,-0.0135,-0.2464,0.248
0.082834,0.0243,-0.0136,-0.2461,0.248
0.092428,0.0229,-0.0138,-0.2466,0.248
0.107331,0.0222,-0.0137,-0.2468,0.248
0.112792,0.0225,-0.0130,-0.2466,0.248
0.122895,0.0227,-0.0126,-0.2463,0.248
0.133626,0.0219,-0.0136,-0.2460,0.247
0.143076,0.0207,-0.0154,-0.2454,0.247
0.153234,0.0205,-0.0172,-0.2429,0.244
0.164559,0.0208,-0.0193,-0.2391,0.241
0.174467,0.0204,-0.0217,-0.2347,0.237
0.184016,0.0201,-0.0228,-0.2294,0.231
0.194068,0.0210,-0.0248,-0.2262,0.229
0.208281,0.0227,-0.0268,-0.2239,0.227
0.214145,0.0238,-0.0286,-0.2213,0.224
0.224481,0.0265,-0.0307,-0.2179,0.222
0.234347,0.0289,-0.0313,-0.2158,0.220
0.244789,0.0312,-0.0322,-0.2134,0.218
0.254751,0.0326,-0.0333,-0.2120,0.217
0.265116,0.0340,-0.0343,-0.2104,0.216
0.275187,0.0346,-0.0357,-0.2090,0.215
0.291920,0.0347,-0.0360,-0.2073,0.213
0.295766,0.0344,-0.0351,-0.2042,0.210
0.305773,0.0330,-0.0344,-0.1996,0.205
0.315247,0.0305,-0.0333,-0.1953,0.200
0.326144,0.0275,-0.0324,-0.1901,0.195
0.336021,0.0253,-0.0305,-0.1866,0.191
0.347416,0.0242,-0.0274,-0.1841,0.188
0.356525,0.0226,-0.0245,-0.1838,0.187
0.366632,0.0215,-0.0221,-0.1852,0.188
0.377123,0.0209,-0.0205,-0.1882,0.190
0.393153,0.0198,-0.0188,-0.1916,0.194
0.397142,0.0182,-0.0176,-0.1936,0.195
0.407751,0.0162,-0.0153,-0.1956,0.197
0.416383,0.0140,-0.0138,-0.1982,0.199
0.427351,0.0112,-0.0121,-0.2010,0.202
0.437465,0.0085,-0.0118,-0.2038,0.204
0.448443,0.0058,-0.0123,-0.2076,0.208
0.457625,0.0047,-0.0126,-0.2109,0.211
0.467538,0.0022,-0.0118,-0.2147,0.215
0.477681,-0.0001,-0.0097,-0.2176,0.218
0.492183,-0.0014,-0.0089,-0.2204,0.221
0.498266,-0.0031,-0.0093,-0.2240,0.224
0.508308,-0.0037,-0.0099,-0.2288,0.229
0.518636,-0.0040,-0.0115,-0.2349,0.235
0.528818,-0.0041,-0.0129,-0.2421,0.242
0.538438,-0.0034,-0.0154,-0.2486,0.249
0.548284,-0.0028,-0.0172,-0.2533,0.254
0.558913,-0.0007,-0.0192,-0.2571,0.258
0.568896,0.0013,-0.0205,-0.2618,0.263
0.578949,0.0054,-0.0214,-0.2658,0.267
0.591157,0.0110,-0.0220,-0.2700,0.271
0.599463,0.0169,-0.0231,-0.2732,0.275
0.609910,0.0229,-0.0250,-0.2768,0.279
0.619704,0.0275,-0.0256,-0.2798,0.282
0.630395,0.0314,-0.0270,-0.2820,0.285
0.639608,0.0353,-0.0273,-0.2831,0.287
0.649942,0.0383,-0.0257,-0.2836,0.287
0.660660,0.0411,-0.0245,-0.2839,0.288
0.670546,0.0436,-0.0247,-0.2832,0.288
0.693549,0.0460,-0.0249,-0.2822,0.287
0.694618,0.0489,-0.0246,-0.2808,0.286
0.700571,0.0524,-0.0241,-0.2796,0.285
0.711861,0.0540,-0.0225,-0.2776,0.284
0.721106,0.0566,-0.0215,-0.2727,0.279
0.730944,0.0588,-0.0208,-0.2670,0.274
0.741371,0.0600,-0.0187,-0.2604,0.268
0.751390,0.0597,-0.0172,-0.2528,0.260
0.761684,0.0589,-0.0173,-0.2453,0.253
0.771695,0.0579,-0.0186,-0.2383,0.246
0.793186,0.0556,-0.0187,-0.2320,0.239
0.794257,0.0534,-0.0188,-0.2269,0.234
0.801905,0.0505,-0.0186,-0.2221,0.228
0.813694,0.0472,-0.0177,-0.2163,0.222
0.822332,0.0459,-0.0180,-0.2098,0.216
0.832207,0.0454,-0.0187,-0.2053,0.211
0.842632,0.0456,-0.0201,-0.2022,0.208
0.852564,0.0449,-0.0225,-0.1993,0.205
0.864076,0.0441,-0.0242,-0.1963,0.203
0.873120,0.0436,-0.0243,-0.1941,0.200
0.883242,0.0425,-0.0245,-0.1926,0.199
0.893177,0.0419,-0.0242,-0.1919,0.198
0.903471,0.0415,-0.0239,-0.1906,0.196
0.913950,0.0426,-0.0239,-0.1889,0.195
0.923469,0.0425,-0.0229,-0.1901,0.196
0.933381,0.0430,-0.0208,-0.1921,0.198
0.944020,0.0437,-0.0204,-0.1948,0.201
0.953899,0.0455,-0.0198,-0.1969,0.203
0.963864,0.0468,-0.0176,-0.1983,0.205
0.974584,0.0471,-0.0156,-0.1976,0.204
0.984735,0.0480,-0.0140,-0.1947,0.201
0.994974,0.0480,-0.0121,-0.1918,0.198
1.004701,0.0479,-0.0102,-0.1904,0.197
1.014909,0.0475,-0.0077,-0.1873,0.193
1.024732,0.0468,-0.0051,-0.1827,0.189
1.035933,0.0452,-0.0024,-0.1753,0.181
1.045250,0.0436,0.0011,-0.1658,0.171
1.056619,0.0426,0.0043,-0.1567,0.162
1.065099,0.0409,0.0069,-0.1499,0.156
1.075158,0.0392,0.0078,-0.1435,0.149
1.085599,0.0379,0.0082,-0.1384,0.144
1.100817,0.0362,0.0073,-0.1334,0.138
1.105553,0.0345,0.0058,-0.1305,0.135
